Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-05-09 02:32:35,3778,109,472,3197
Albania,Albanie,Europe,2020-05-09 02:32:35,850,31,620,199
Algeria,Algérie,Afrique,2020-05-09 02:32:35,5369,488,2467,2414
Andorra,Andorre,Europe,2020-05-09 02:32:35,752,47,537,168
Angola,Angola,Afrique,2020-05-09 02:32:35,43,2,11,30
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-05-09 02:32:35,25,3,16,6
Arab Republic of Egypt,Égypte,Afrique,2020-05-09 02:32:35,8476,503,1945,6028
Argentina,Argentine,Amérique du Sud,2020-05-09 02:32:35,5611,293,1659,3659
Armenia,Arménie,Asie,2020-05-09 02:32:35,3029,43,1218,1768
Australia,Australie,Océanie,2020-05-09 02:32:35,6918,97,6122,699
Austria,Autriche,Europe,2020-05-09 02:32:35,15774,614,13836,1324
Azerbaijan,Azebaïdjan,Asie,2020-05-09 02:32:35,2279,28,1576,675
Bahrain,Bahrein,Asie,2020-05-09 02:32:35,4444,8,2028,2408
Bangladesh,Bangladesh,Asie,2020-05-09 02:32:35,13134,206,2101,10827
Barbados,Barbados,Amérique Centrale,2020-05-09 02:32:35,83,7,53,23
Belarus,Biélorusse,Europe,2020-05-09 02:32:35,21101,121,5484,15496
Belgium,Belgique,Europe,2020-05-09 02:32:35,52011,8521,13201,30289
Belize,Belize,Amérique Centrale,2020-05-09 02:32:35,18,2,16,0
Benin,Bénin,Afrique,2020-05-09 02:32:35,242,2,62,178
Bhutan,Bhoutan,Asie,2020-05-09 02:32:35,7,0,5,2
Bolivia,Bolivie,Amérique du Sud,2020-05-09 02:32:35,2266,106,237,1923
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-05-09 02:32:35,2070,98,960,1012
Botswana,Botswana,Afrique,2020-05-09 02:32:35,23,1,9,13
Brazil,Brésil,Amérique du Sud,2020-05-09 02:32:35,146894,10017,59297,77580
Brunei Darussalam,Brunei,Asie,2020-05-09 02:32:35,141,1,132,8
Bulgaria,Bulgarie,Europe,2020-05-09 02:32:35,1872,86,401,1385
Burkina Faso,Burkina Faso,Afrique,2020-05-09 02:32:35,744,48,566,130
Burundi,Burundi,Afrique,2020-05-09 02:32:35,15,1,7,7
Cambodia,Cambodge,Asie,2020-05-09 02:32:35,122,0,120,2
Cameroon,Cameroun,Afrique,2020-05-09 02:32:35,2267,108,1002,1157
Canada,Canada,Amérique du Nord,2020-05-09 02:32:35,67674,4697,30239,32738
Cape Verde,Cap Vert,Afrique,2020-05-09 02:32:35,230,2,44,184
Central African Republic,République d’Afrique Centrale,Afrique,2020-05-09 02:32:35,143,0,10,133
Chad,Tchad,Afrique,2020-05-09 02:32:35,260,28,50,182
Chile,Chili,Amérique du Sud,2020-05-09 02:32:35,25972,294,12160,13518
China,Chine,Asie,2020-05-09 02:32:35,83976,4637,78993,346
Colombia,Colombie,Amérique du Sud,2020-05-09 02:32:35,10051,428,2424,7199
Comoros,Les Comores,Afrique,2020-05-09 02:32:35,8,1,0,7
Congo,Congo,Afrique,2020-05-09 02:32:35,274,10,33,231
Costa Rica,Costa Rica,Amérique du Sud,2020-05-09 02:32:35,773,6,461,306
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-05-09 02:32:35,1602,20,754,828
Croatia,Croatie,Europe,2020-05-09 02:32:35,2161,86,1689,386
Cuba,Cuba,Amérique Centrale,2020-05-09 02:32:35,1741,74,1078,589
Cyprus,Chypre,Europe,2020-05-09 02:32:35,891,15,400,476
Czech Republic,République Tchèque,Europe,2020-05-09 02:32:35,8077,273,4413,3391
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-05-09 02:32:35,937,39,130,768
Denmark,Danemark,Europe,2020-05-09 02:32:35,10416,522,8125,1769
Diamond Princess,Diamond Princess,,2020-05-09 02:32:35,712,13,645,54
Djibouti,Djibouti,Afrique,2020-05-09 02:32:35,1135,3,824,308
Dominica,Dominique,Amérique Centrale,2020-05-09 02:32:35,16,0,14,2
Dominican Republic,République Dominicaine,Amérique Centrale,2020-05-09 02:32:35,9376,380,2286,6710
Ecuador,Équateur,Amérique du Sud,2020-05-09 02:32:35,28818,1704,3433,23681
El Salvador,El Salvador,Amérique Centrale,2020-05-09 02:32:35,742,16,257,469
Equatorial Guinea,Guinée équatoriale,Afrique,2020-05-09 02:32:35,439,4,13,422
Eritrea,Erythrée,Afrique,2020-05-09 02:32:35,39,0,37,2
Estonia,Estonie,Europe,2020-05-09 02:32:35,1725,56,704,965
Eswatini,Eswatini,Afrique,2020-05-09 02:32:35,159,2,12,145
Ethiopia,Ethiopie,Afrique,2020-05-09 02:32:35,194,4,95,95
Fiji,Iles Fidji,Amérique Centrale,2020-05-09 02:32:35,18,0,14,4
Finland,Finlande,Europe,2020-05-09 02:32:35,5738,260,4000,1478
France,France,Europe,2020-05-09 02:32:35,176202,26233,55892,94077
Gabon,Gabon,Afrique,2020-05-09 02:32:35,620,8,110,502
Georgia,Géorgie,Asie,2020-05-09 02:32:35,623,10,288,325
Germany,Allemagne,Europe,2020-05-09 02:32:35,170588,7510,141700,21378
Ghana,Ghana,Afrique,2020-05-09 02:32:35,4012,18,323,3671
Greece,Grèce,Europe,2020-05-09 02:32:35,2691,150,1374,1167
Grenada,Grenade,Amérique Centrale,2020-05-09 02:32:35,21,0,13,8
Guatemala,Guatemala,Amérique Centrale,2020-05-09 02:32:35,900,24,101,775
Guinea,Guinée,Afrique,2020-05-09 02:32:35,2009,11,663,1335
Guinea-Bissau,Guinée-Bissau,Afrique,2020-05-09 02:32:35,594,2,25,567
Guyana,Guyane,Amérique du Sud,2020-05-09 02:32:35,94,10,35,49
Haiti,Haïti,Amérique Centrale,2020-05-09 02:32:35,146,12,17,117
Holy See,Iles Anglo-Normandes,Europe,2020-05-09 02:32:35,12,0,2,10
Honduras,Honduras,Amérique Centrale,2020-05-09 02:32:35,1771,107,192,1472
Hungary,Hongrie,Europe,2020-05-09 02:32:35,3178,392,865,1921
Iceland,Islande,Europe,2020-05-09 02:32:35,1801,10,1765,26
India,Inde,Asie,2020-05-09 02:32:35,59695,1985,17887,39823
Indonesia,Indonésie,Asie,2020-05-09 02:32:35,13112,943,2494,9675
Iraq,Irak,Moyen-Orient,2020-05-09 02:32:35,2603,104,1661,838
Ireland,Irlande,Europe,2020-05-09 02:32:35,22541,1429,17110,4002
Islamic Republic of Iran,Iran,Moyen-Orient,2020-05-09 02:32:35,104691,6541,83837,14313
Israel,Israël,Moyen-Orient,2020-05-09 02:32:35,16436,245,11229,4962
Italy,Italie,Europe,2020-05-09 02:32:35,217185,30201,99023,87961
Jamaica,Jamaïque,Amérique Centrale,2020-05-09 02:32:35,490,9,62,419
Japan,Japon,Asie,2020-05-09 02:32:35,15575,590,5146,9839
Jordan,Jordanie,Moyen-Orient,2020-05-09 02:32:35,508,9,385,114
Kazakhstan,Kazakhstan,Asie,2020-05-09 02:32:35,4834,31,1631,3172
Kenya,Kenya,Afrique,2020-05-09 02:32:35,621,29,202,390
Kosovo,Kosovo,Europe,2020-05-09 02:32:35,861,27,562,272
Kuwait,Koweit,Moyen-Orient,2020-05-09 02:32:35,7208,47,2466,4695
Kyrgyz Republic,Kirghizistan,Asie,2020-05-09 02:32:35,906,12,650,244
Lao People's Democratic Republic,Laos,Asie,2020-05-09 02:32:35,19,0,9,10
Latvia,Lettonie,Europe,2020-05-09 02:32:35,928,18,464,446
Lebanon,Liban,Moyen-Orient,2020-05-09 02:32:35,796,26,223,547
Liberia,Liberia,Afrique,2020-05-09 02:32:35,199,20,79,100
