Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
France,2020-04-01 21:58:34,56989,4032,10934,42023
Gabon,2020-04-01 21:58:34,18,1,0,17
Georgia,2020-04-01 21:58:34,117,0,23,94
Germany,2020-04-01 21:58:34,77872,920,18700,58252
Ghana,2020-04-01 21:58:34,195,5,31,159
Greece,2020-04-01 21:58:34,1415,50,52,1313
Grenada,2020-04-01 21:58:34,9,0,0,9
Guatemala,2020-04-01 21:58:34,39,1,12,26
Guinea,2020-04-01 21:58:34,30,0,0,30
Guinea-Bissau,2020-04-01 21:58:34,9,0,0,9
Guyana,2020-04-01 21:58:34,19,2,0,17
Haiti,2020-04-01 21:58:34,16,0,1,15
Holy See,2020-04-01 21:58:34,6,0,0,6
Honduras,2020-04-01 21:58:34,172,10,3,159
Hungary,2020-04-01 21:58:34,525,20,40,465
Iceland,2020-04-01 21:58:34,1220,2,225,993
India,2020-04-01 21:58:34,1998,58,148,1792
Indonesia,2020-04-01 21:58:34,1677,157,103,1417
Iraq,2020-04-01 21:58:34,728,52,182,494
Ireland,2020-04-01 21:58:34,3447,85,5,3357
Islamic Republic of Iran,2020-04-01 21:58:34,47593,3036,15473,29084
Israel,2020-04-01 21:58:34,6092,26,241,5825
Italy,2020-04-01 21:58:34,110574,13155,16847,80572
Jamaica,2020-04-01 21:58:34,44,3,2,39
Japan,2020-04-01 21:58:34,2178,57,472,1649
Jordan,2020-04-01 21:58:34,278,5,36,237
Kazakhstan,2020-04-01 21:58:34,380,3,26,351
Kenya,2020-04-01 21:58:34,81,1,3,77
Kosovo,2020-04-01 21:58:34,125,1,10,114
Kuwait,2020-04-01 21:58:34,317,0,80,237
Kyrgyz Republic,2020-04-01 21:58:34,111,0,3,108
Lao People's Democratic Republic,2020-04-01 21:58:34,10,0,0,10
Latvia,2020-04-01 21:58:34,446,0,1,445
Lebanon,2020-04-01 21:58:34,479,14,43,422
Liberia,2020-04-01 21:58:34,6,0,0,6
Libya,2020-04-01 21:58:34,10,0,0,10
Liechtenstein,2020-04-01 21:58:34,68,0,0,68
Lithuania,2020-04-01 21:58:34,581,8,7,566
Luxembourg,2020-04-01 21:58:34,2319,29,80,2210
Madagascar,2020-04-01 21:58:34,57,0,0,57
Malaysia,2020-04-01 21:58:34,2908,45,645,2218
Maldives,2020-04-01 21:58:34,19,0,13,6
Mali,2020-04-01 21:58:34,31,3,0,28
Malta,2020-04-01 21:58:34,188,0,2,186
Mauritania,2020-04-01 21:58:34,6,1,2,3
Mauritius,2020-04-01 21:58:34,161,6,0,155
Mexico,2020-04-01 21:58:34,1215,29,35,1151
Moldova,2020-04-01 21:58:34,423,5,23,395
Monaco,2020-04-01 21:58:34,55,1,2,52
Mongolia,2020-04-01 21:58:34,14,0,2,12
Montenegro,2020-04-01 21:58:34,123,2,0,121
Morocco,2020-04-01 21:58:34,654,39,29,586
Mozambique,2020-04-01 21:58:34,10,0,0,10
MS Zaandam,2020-04-01 21:58:34,9,2,0,7
Myanmar,2020-04-01 21:58:34,15,1,0,14
Namibia,2020-04-01 21:58:34,14,0,2,12
Nepal,2020-04-01 21:58:34,5,0,1,4
Netherlands,2020-04-01 21:58:34,55,0,1,54
Netherlands,2020-04-01 21:58:34,11,1,3,7
Netherlands,2020-04-01 21:58:34,16,1,6,9
Netherlands,2020-04-01 21:58:34,13614,1173,250,12191
New Zealand,2020-04-01 21:58:34,708,1,83,624
Nicaragua,2020-04-01 21:58:34,5,1,0,4
Niger,2020-04-01 21:58:34,74,5,0,69
Nigeria,2020-04-01 21:58:34,174,2,9,163
North Macedonia,2020-04-01 21:58:34,354,11,17,326
Norway,2020-04-01 21:58:34,4863,44,13,4806
Oman,2020-04-01 21:58:34,210,1,34,175
Pakistan,2020-04-01 21:58:34,2118,27,94,1997
Panama,2020-04-01 21:58:34,1181,30,9,1142
Papua New Guinea,2020-04-01 21:58:34,1,0,0,1
Paraguay,2020-04-01 21:58:34,69,3,1,65
Peru,2020-04-01 21:58:34,1323,38,394,891
Philippines,2020-04-01 21:58:34,2311,96,50,2165
Poland,2020-04-01 21:58:34,2554,43,47,2464
Portugal,2020-04-01 21:58:34,8251,187,43,8021
Qatar,2020-04-01 21:58:34,835,2,71,762
R. B. de Venezuela,2020-04-01 21:58:34,143,3,41,99
Republic of Korea,2020-04-01 21:58:34,9887,165,5567,4155
Romania,2020-04-01 21:58:34,2460,92,252,2116
Russian Federation,2020-04-01 21:58:34,2777,24,190,2563
Rwanda,2020-04-01 21:58:34,82,0,0,82
Saint Kitts and Nevis,2020-04-01 21:58:34,8,0,0,8
Saint Lucia,2020-04-01 21:58:34,13,0,1,12
Saint Vincent and the Grenadines,2020-04-01 21:58:34,1,0,1,0
San Marino,2020-04-01 21:58:34,236,26,13,197
Saudi Arabia,2020-04-01 21:58:34,1720,16,264,1440
Senegal,2020-04-01 21:58:34,190,1,45,144
Serbia,2020-04-01 21:58:34,1060,28,0,1032
Seychelles,2020-04-01 21:58:34,10,0,0,10
Sierra Leone,2020-04-01 21:58:34,2,0,0,2
Singapore,2020-04-01 21:58:34,1000,3,245,752
Slovak Republic,2020-04-01 21:58:34,400,1,3,396
Slovenia,2020-04-01 21:58:34,841,15,10,816
Somalia,2020-04-01 21:58:34,5,0,1,4
South Africa,2020-04-01 21:58:34,1380,5,50,1325
Spain,2020-04-01 21:58:34,104118,9387,22647,72084
Sri Lanka,2020-04-01 21:58:34,146,3,21,122
Sudan,2020-04-01 21:58:34,7,2,2,3
Suriname,2020-04-01 21:58:34,10,0,0,10
Sweden,2020-04-01 21:58:34,4947,239,103,4605
