Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-24 03:30:50,1279,42,179,1058
Albania,Albanie,Europe,2020-04-24 03:30:50,663,27,385,251
Algeria,Algérie,Afrique,2020-04-24 03:30:50,3007,407,1355,1245
Andorra,Andorre,Europe,2020-04-24 03:30:50,723,37,333,353
Angola,Angola,Afrique,2020-04-24 03:30:50,25,2,6,17
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-24 03:30:50,24,3,10,11
Arab Republic of Egypt,Égypte,Afrique,2020-04-24 03:30:50,3891,287,1004,2600
Argentina,Argentine,Amérique du Sud,2020-04-24 03:30:50,3435,165,919,2351
Armenia,Arménie,Asie,2020-04-24 03:30:50,1523,24,659,840
Australia,Australie,Océanie,2020-04-24 03:30:50,6661,75,4124,2462
Austria,Autriche,Europe,2020-04-24 03:30:50,15002,522,11694,2786
Azerbaijan,Azebaïdjan,Asie,2020-04-24 03:30:50,1548,20,948,580
Bahrain,Bahrein,Asie,2020-04-24 03:30:50,2217,8,1082,1127
Bangladesh,Bangladesh,Asie,2020-04-24 03:30:50,4186,127,108,3951
Barbados,Barbados,Amérique Centrale,2020-04-24 03:30:50,76,6,30,40
Belarus,Biélorusse,Europe,2020-04-24 03:30:50,8022,60,938,7024
Belgium,Belgique,Europe,2020-04-23 00:00:00,42797,6490,9800,26507
Belize,Belize,Amérique Centrale,2020-04-24 03:30:50,18,2,5,11
Benin,Bénin,Afrique,2020-04-24 03:30:50,54,1,27,26
Bhutan,Bhoutan,Asie,2020-04-24 03:30:50,7,0,3,4
Bolivia,Bolivie,Amérique du Sud,2020-04-24 03:30:50,703,43,44,616
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-24 03:30:50,1413,54,485,874
Botswana,Botswana,Afrique,2020-04-24 03:30:50,22,1,0,21
Brazil,Brésil,Amérique du Sud,2020-04-24 03:30:50,50036,3331,26573,20132
Brunei Darussalam,Brunei,Asie,2020-04-24 03:30:50,138,1,119,18
Bulgaria,Bulgarie,Europe,2020-04-22 00:00:00,1097,52,190,855
Burkina Faso,Burkina Faso,Afrique,2020-04-24 03:30:50,616,41,410,165
Burundi,Burundi,Afrique,2020-04-24 03:30:50,11,1,4,6
Cambodia,Cambodge,Asie,2020-04-24 03:30:50,122,0,110,12
Cameroon,Cameroun,Afrique,2020-04-24 03:30:50,1334,43,668,623
Canada,Canada,Amérique du Nord,2020-04-24 03:30:50,43286,2241,14761,26284
Cape Verde,Cap Vert,Afrique,2020-04-24 03:30:50,82,1,1,80
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-24 03:30:50,16,0,10,6
Chad,Tchad,Afrique,2020-04-24 03:30:50,33,0,8,25
Chile,Chili,Amérique du Sud,2020-04-24 03:30:50,11812,168,5804,5840
China,Chine,Asie,2020-04-24 03:31:05,83884,4636,77983,1265
Colombia,Colombie,Amérique du Sud,2020-04-22 00:00:00,4561,215,927,3419
Congo,Congo,Afrique,2020-04-24 03:30:50,186,6,16,164
Costa Rica,Costa Rica,Amérique du Sud,2020-04-24 03:30:50,686,6,196,484
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-24 03:30:50,1004,14,359,631
Croatia,Croatie,Europe,2020-04-24 03:30:50,1981,50,883,1048
Cuba,Cuba,Amérique Centrale,2020-04-24 03:30:50,1235,43,365,827
Cyprus,Chypre,Europe,2020-04-24 03:30:50,795,13,98,684
Czech Republic,République Tchèque,Europe,2020-04-24 03:30:50,7187,210,2152,4825
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-24 03:30:50,377,25,47,305
Denmark,Danemark,Europe,2020-04-24 03:30:50,8271,394,5573,2304
Diamond Princess,Diamond Princess,,2020-04-24 03:30:50,712,13,645,54
Djibouti,Djibouti,Afrique,2020-04-24 03:30:50,986,2,252,732
Dominica,Dominique,Amérique Centrale,2020-04-24 03:30:50,16,0,9,7
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-24 03:30:50,5543,265,581,4697
Ecuador,Équateur,Amérique du Sud,2020-04-24 03:30:50,11183,560,1328,9295
El Salvador,El Salvador,Amérique Centrale,2020-04-24 03:30:50,250,8,67,175
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-24 03:30:50,84,1,7,76
Eritrea,Erythrée,Afrique,2020-04-24 03:30:50,39,0,6,33
Estonia,Estonie,Europe,2020-04-24 03:30:50,1592,45,192,1355
Eswatini,Eswatini,Afrique,2020-04-24 03:30:50,31,1,8,22
Ethiopia,Ethiopie,Afrique,2020-04-24 03:30:50,116,3,21,92
Fiji,Iles Fidji,Amérique Centrale,2020-04-24 03:30:50,18,0,8,10
Finland,Finlande,Europe,2020-04-24 03:30:50,4284,172,2000,2112
France,France,Europe,2020-04-24 03:30:50,159460,21889,42762,94809
Gabon,Gabon,Afrique,2020-04-24 03:30:50,167,2,24,141
Georgia,Géorgie,Asie,2020-04-24 03:30:50,425,5,111,309
Germany,Allemagne,Europe,2020-04-24 03:30:50,153129,5575,103300,44254
Ghana,Ghana,Afrique,2020-04-24 03:30:50,1154,9,99,1046
Greece,Grèce,Europe,2020-04-24 03:30:50,2463,125,577,1761
Grenada,Grenade,Amérique Centrale,2020-04-24 03:30:50,15,0,6,9
Guatemala,Guatemala,Amérique Centrale,2020-04-24 03:30:50,384,11,30,343
