Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-18 22:32:47,933,30,112,791
Albania,Albanie,Europe,2020-04-18 22:32:47,548,26,302,220
Algeria,Algérie,Afrique,2020-04-18 22:32:47,2534,367,894,1273
Andorra,Andorre,Europe,2020-04-18 22:32:47,704,35,205,464
Angola,Angola,Afrique,2020-04-18 22:32:47,24,2,6,16
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-18 22:32:47,23,3,3,17
Arab Republic of Egypt,Égypte,Afrique,2020-04-18 22:32:47,3032,224,701,2107
Argentina,Argentine,Amérique du Sud,2020-04-18 22:32:47,2758,129,685,1944
Armenia,Arménie,Asie,2020-04-18 22:32:47,1248,20,523,705
Australia,Australie,Océanie,2020-04-18 22:32:47,6547,67,4124,2356
Austria,Autriche,Europe,2020-04-18 22:32:47,14671,443,10214,4014
Azerbaijan,Azebaïdjan,Asie,2020-04-18 22:32:47,1373,18,590,765
Bahrain,Bahrein,Asie,2020-04-18 22:32:47,1773,7,755,1011
Bangladesh,Bangladesh,Asie,2020-04-18 22:32:47,2144,84,66,1994
Barbados,Barbados,Amérique Centrale,2020-04-18 22:32:47,75,5,17,53
Belarus,Biélorusse,Europe,2020-04-18 22:32:47,4779,45,342,4392
Belgium,Belgique,Europe,2020-04-18 22:32:47,37183,5453,8348,23382
Belize,Belize,Amérique Centrale,2020-04-18 22:32:47,18,2,0,16
Benin,Bénin,Afrique,2020-04-18 22:32:47,35,1,18,16
Bhutan,Bhoutan,Asie,2020-04-18 22:32:47,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-18 22:32:47,493,31,31,431
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-18 22:32:47,1268,47,338,883
Botswana,Botswana,Afrique,2020-04-18 22:32:47,15,1,0,14
Brazil,Brésil,Amérique du Sud,2020-04-18 22:32:47,36658,2354,14026,20278
Brunei Darussalam,Brunei,Asie,2020-04-18 22:32:47,137,1,113,23
Bulgaria,Bulgarie,Europe,2020-04-18 22:32:47,878,41,153,684
Burkina Faso,Burkina Faso,Afrique,2020-04-18 22:32:47,565,36,321,208
Burundi,Burundi,Afrique,2020-04-18 22:32:47,5,1,0,4
Cambodia,Cambodge,Asie,2020-04-18 22:32:47,122,0,103,19
Cameroon,Cameroun,Afrique,2020-04-18 22:32:47,1017,22,177,818
Canada,Canada,Amérique du Nord,2020-04-18 22:32:47,34356,1400,10964,21992
Cape Verde,Cap Vert,Afrique,2020-04-18 22:32:47,58,1,1,56
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-18 22:32:47,12,0,4,8
Chad,Tchad,Afrique,2020-04-18 22:32:47,33,0,8,25
Chile,Chili,Amérique du Sud,2020-04-18 22:32:47,9730,126,4035,5569
China,Chine,Asie,2020-04-18 22:32:47,83787,4636,77614,1537
Colombia,Colombie,Amérique du Sud,2020-04-18 22:32:47,3439,153,634,2652
Congo,Congo,Afrique,2020-04-18 22:32:47,143,6,11,126
Costa Rica,Costa Rica,Amérique du Sud,2020-04-18 22:32:47,655,4,97,554
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-18 22:32:47,801,8,239,554
Croatia,Croatie,Europe,2020-04-18 22:32:47,1832,39,615,1178
Cuba,Cuba,Amérique Centrale,2020-04-18 22:32:47,986,32,227,727
Cyprus,Chypre,Europe,2020-04-18 22:32:47,761,12,79,670
Czech Republic,République Tchèque,Europe,2020-04-18 22:32:47,6606,181,1227,5198
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-18 22:32:47,307,25,26,256
Denmark,Danemark,Europe,2020-04-18 22:32:47,7437,346,4031,3060
Diamond Princess,Diamond Princess,,2020-04-18 22:32:47,712,13,644,55
Djibouti,Djibouti,Afrique,2020-04-18 22:32:47,732,2,76,654
Dominica,Dominique,Amérique Centrale,2020-04-18 22:32:47,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-18 22:32:47,4335,217,312,3806
Ecuador,Équateur,Amérique du Sud,2020-04-18 22:32:47,9022,456,1008,7558
El Salvador,El Salvador,Amérique Centrale,2020-04-18 22:32:47,190,7,43,140
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-18 22:32:47,79,0,4,75
Eritrea,Erythrée,Afrique,2020-04-18 22:32:47,39,0,3,36
Estonia,Estonie,Europe,2020-04-18 22:32:47,1512,38,162,1312
Eswatini,Eswatini,Afrique,2020-04-18 22:32:47,22,1,8,13
Ethiopia,Ethiopie,Afrique,2020-04-18 22:32:47,105,3,16,86
Fiji,Iles Fidji,Amérique Centrale,2020-04-18 22:32:47,17,0,0,17
Finland,Finlande,Europe,2020-04-18 22:32:47,3681,90,1700,1891
France,France,Europe,2020-04-18 22:32:47,149149,19345,36587,93217
Gabon,Gabon,Afrique,2020-04-18 22:32:47,108,1,7,100
Georgia,Géorgie,Asie,2020-04-18 22:32:47,388,4,86,298
Germany,Allemagne,Europe,2020-04-18 22:32:47,143342,4459,85400,53483
Ghana,Ghana,Afrique,2020-04-18 22:32:47,834,9,99,726
Greece,Grèce,Europe,2020-04-18 22:32:47,2235,110,269,1856
Grenada,Grenade,Amérique Centrale,2020-04-18 22:32:47,14,0,6,8
Guatemala,Guatemala,Amérique Centrale,2020-04-18 22:32:47,235,7,21,207
Guinea,Guinée,Afrique,2020-04-18 22:32:47,518,3,65,450
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-18 22:32:47,46,0,0,46
Guyana,Guyane,Amérique du Sud,2020-04-18 22:32:47,63,6,9,48
Haiti,Haïti,Amérique Centrale,2020-04-18 22:32:47,44,3,0,41
Holy See,Iles Anglo-Normandes,Europe,2020-04-18 22:32:47,8,0,2,6
Honduras,Honduras,Amérique Centrale,2020-04-18 22:32:47,457,46,10,401
Hungary,Hongrie,Europe,2020-04-18 22:32:47,1834,172,231,1431
Iceland,Islande,Europe,2020-04-18 22:32:47,1760,9,1291,460
India,Inde,Asie,2020-04-18 22:32:47,15722,521,2463,12738
Indonesia,Indonésie,Asie,2020-04-18 22:32:47,6248,535,631,5082
Iraq,Irak,Moyen-Orient,2020-04-18 22:32:47,1513,82,953,478
Ireland,Irlande,Europe,2020-04-18 22:32:47,14758,571,77,14110
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-18 22:32:47,80868,5031,55987,19850
Israel,Israël,Moyen-Orient,2020-04-18 22:32:47,13265,164,3456,9645
Italy,Italie,Europe,2020-04-18 22:32:47,175925,23227,44927,107771
Jamaica,Jamaïque,Amérique Centrale,2020-04-18 22:32:47,163,5,25,133
Japan,Japon,Asie,2020-04-18 22:32:47,10296,222,1069,9005
Jordan,Jordanie,Moyen-Orient,2020-04-18 22:32:47,413,7,269,137
Kazakhstan,Kazakhstan,Asie,2020-04-18 22:32:47,1615,17,377,1221
Kenya,Kenya,Afrique,2020-04-18 22:32:47,262,12,60,190
Kosovo,Kosovo,Europe,2020-04-18 22:32:47,510,12,93,405
Kuwait,Koweit,Moyen-Orient,2020-04-18 22:32:47,1751,6,280,1465
Kyrgyz Republic,Kirghizistan,Asie,2020-04-18 22:32:47,506,5,130,371
Lao People's Democratic Republic,Laos,Asie,2020-04-18 22:32:47,19,0,2,17
Latvia,Lettonie,Europe,2020-04-18 22:32:47,712,5,88,619
Lebanon,Liban,Moyen-Orient,2020-04-18 22:32:47,672,21,99,552
Liberia,Liberia,Afrique,2020-04-18 22:32:47,76,7,7,62
Libya,Libye,Afrique,2020-04-18 22:32:47,49,1,11,37
Liechtenstein,Liechtenstein,Europe,2020-04-18 22:32:47,79,1,55,23
Lithuania,Lituanie,Europe,2020-04-18 22:32:47,1239,33,228,978
Luxembourg,Luxembourg,Europe,2020-04-18 22:32:47,3537,72,601,2864
Madagascar,Madagascar,Afrique,2020-04-18 22:32:47,120,0,35,85
Malawi,Malawi,Afrique,2020-04-18 22:32:47,17,2,3,12
Malaysia,Malaisie,Asie,2020-04-18 22:32:47,5305,88,3102,2115
Maldives,Maldives,Asie,2020-04-18 22:32:47,35,0,16,19
Mali,Mali,Afrique,2020-04-18 22:32:47,216,13,41,162
Malta,Malte,Europe,2020-04-18 22:32:47,426,3,99,324
Mauritania,Mauritanie,Afrique,2020-04-18 22:32:47,7,1,2,4
Mauritius,Maurice,Afrique,2020-04-18 22:32:47,325,9,180,136
Mexico,Mexique,Amérique du Nord,2020-04-18 22:32:47,6875,546,2125,4204
Moldova,Moldavie,Asie,2020-04-18 22:32:47,2378,57,391,1930
Monaco,Monaco,Europe,2020-04-18 22:32:47,94,3,22,69
Mongolia,Mongolie,Asie,2020-04-18 22:32:47,31,0,5,26
Montenegro,Montenegro,Europe,2020-04-18 22:32:47,307,5,55,247
Morocco,Maroc,Afrique,2020-04-18 22:32:47,2685,137,314,2234
Mozambique,Mozambique,Afrique,2020-04-18 22:32:47,35,0,4,31
MS Zaandam,MS Zaandam,,2020-04-18 22:32:47,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-18 22:32:47,98,5,5,88
Namibia,Namibie,Afrique,2020-04-18 22:32:47,16,0,6,10
Nepal,Népal,Asie,2020-04-18 22:32:47,31,0,2,29
Netherlands,Pays-Bas,Europe,2020-04-18 22:32:47,31766,3613,317,27836
New Zealand,Nouvelle-Zélande,Océanie,2020-04-18 22:32:47,1422,11,867,544
Nicaragua,Nicaragua,Amérique Centrale,2020-04-18 22:32:47,9,2,6,1
Niger,Niger,Afrique,2020-04-18 22:32:47,639,19,113,507
Nigeria,Nigeria,Afrique,2020-04-18 22:32:47,542,19,166,357
North Macedonia,Macédoine du Nord,Europe,2020-04-18 22:32:47,1170,49,164,957
Norway,Norvège,Europe,2020-04-18 22:32:47,7036,164,32,6840
Oman,Oman,Moyen-Orient,2020-04-18 22:32:47,1180,6,176,998
Pakistan,Pakistan,Asie,2020-04-18 22:32:47,7638,143,1832,5663
Panama,Panama,Amérique Centrale,2020-04-18 22:32:47,4210,116,122,3972
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-18 22:32:47,7,0,0,7
Paraguay,Paraguay,Amérique du Sud,2020-04-18 22:32:47,202,8,35,159
Peru,Pérou,Amérique du Sud,2020-04-18 22:32:47,14420,348,6684,7388
Philippines,Philippines,Asie,2020-04-18 22:32:47,6087,397,516,5174
Poland,Pologne,Europe,2020-04-18 22:32:47,8742,347,981,7414
Portugal,Portugal,Europe,2020-04-18 22:32:47,19685,687,610,18388
Qatar,Qatar,Moyen-Orient,2020-04-18 22:32:47,5008,8,510,4490
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-04-18 22:32:47,227,9,113,105
Republic of Korea,Corée du Sud,Asie,2020-04-18 22:32:47,10653,232,7937,2484
Republic of Yemen,Yemen,Moyen-Orient,2020-04-18 22:32:47,1,0,0,1
Romania,Roumanie,Europe,2020-04-18 22:32:47,8418,421,1730,6267
Russian Federation,Russie,Asie,2020-04-18 22:32:47,36793,313,3057,33423
Rwanda,Rwanda,Afrique,2020-04-18 22:32:47,144,0,69,75
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-04-18 22:32:47,14,0,0,14
