Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Netherlands,Pays-Bas,Europe,,16727,1656,262,14809
New Zealand,Nouvelle-Zélande,Océanie,,950,1,127,822
Nicaragua,Nicaragua,Amérique Centrale,,5,1,0,4
Niger,Niger,Afrique,,144,8,0,136
Nigeria,Nigeria,Afrique,,214,4,25,185
North Macedonia,Macédoine du Nord,Europe,,483,17,20,446
Norway,Norvège,Europe,,5550,62,32,5456
Oman,Oman,Moyen-Orient,,277,2,61,214
Pakistan,Pakistan,Asie,,2818,41,131,2646
Panama,Panama,Amérique Centrale,,1673,41,13,1619
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,,96,3,12,81
Peru,Pérou,Amérique du Sud,,1746,73,914,759
Philippines,Philippines,Asie,,3094,144,57,2893
Poland,Pologne,Europe,,3627,79,116,3432
Portugal,Portugal,Europe,,10524,266,75,10183
Qatar,Qatar,Moyen-Orient,,1325,3,109,1213
R. B. de Venezuela,Venezuela,Amérique du Sud,,155,7,52,96
Republic of Korea,Corée du Sud,Asie,,10156,177,6325,3654
Romania,Roumanie,Europe,,3613,146,329,3138
Russian Federation,Russie,Asie,,4731,43,333,4355
Rwanda,Rwanda,Afrique,,102,0,0,102
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,,9,0,0,9
Saint Lucia,Sainte Lucie,Amérique Centrale,,14,0,1,13
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,,7,0,1,6
San Marino,Saint Marin,Europe,,259,32,27,200
Saudi Arabia,Arabie Saoudite,Moyen-Orient,,2179,29,420,1730
Senegal,Sénégal,Afrique,,219,2,72,145
Serbia,Serbie,Europe,,1624,44,0,1580
Seychelles,Seychelles,Asie,,10,0,0,10
Sierra Leone,Sierra Leone,Afrique,,4,0,0,4
Singapore,Singapour,Asie,,1189,6,297,886
Slovak Republic,Slovaquie,Europe,,471,1,10,460
Slovenia,Slovénie,Europe,,977,22,79,876
Somalia,Somalie,Afrique,,7,0,1,6
South Africa,Afrique du Sud,Afrique,,1585,9,95,1481
Spain,Espagne,Europe,,126168,11947,34219,80002
Sri Lanka,Sri Lanka,Asie,,166,5,27,134
