Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-05-15 02:33:02,5639,136,691,4812
Albania,Albanie,Europe,2020-05-15 02:33:02,898,31,694,173
Algeria,Algérie,Afrique,2020-05-15 02:33:02,6442,529,3158,2755
Andorra,Andorre,Europe,2020-05-15 02:33:02,761,49,596,116
Angola,Angola,Afrique,2020-05-15 02:33:02,48,2,14,32
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-05-15 02:33:02,25,3,19,3
Arab Republic of Egypt,Égypte,Afrique,2020-05-15 02:33:02,10829,571,2626,7632
Argentina,Argentine,Amérique du Sud,2020-05-15 02:33:02,7134,353,2385,4396
Armenia,Arménie,Asie,2020-05-15 02:33:02,3860,49,1572,2239
Australia,Australie,Océanie,2020-05-15 02:33:02,7019,98,6334,587
Austria,Autriche,Europe,2020-05-15 02:33:02,16058,626,14405,1027
Azerbaijan,Azebaïdjan,Asie,2020-05-15 02:33:02,2879,35,1833,1011
Bahrain,Bahrein,Asie,2020-05-15 02:33:02,6198,10,2353,3835
Bangladesh,Bangladesh,Asie,2020-05-15 02:33:02,18863,283,3361,15219
Barbados,Barbados,Amérique Centrale,2020-05-15 02:33:02,85,7,65,13
Belarus,Biélorusse,Europe,2020-05-15 02:33:02,26772,151,8168,18453
Belgium,Belgique,Europe,2020-05-15 02:33:02,54288,8903,14111,31274
Belize,Belize,Amérique Centrale,2020-05-15 02:33:02,18,2,16,0
Benin,Bénin,Afrique,2020-05-15 02:33:02,339,2,83,254
Bhutan,Bhoutan,Asie,2020-05-15 02:33:02,20,0,5,15
Bolivia,Bolivie,Amérique du Sud,2020-05-15 02:33:02,3372,152,356,2864
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-05-15 02:33:02,2218,122,1272,824
Botswana,Botswana,Afrique,2020-05-15 02:33:02,24,1,17,6
Brazil,Brésil,Amérique du Sud,2020-05-15 02:33:02,203165,13999,79479,109687
Brunei Darussalam,Brunei,Asie,2020-05-15 02:33:02,141,1,134,6
Bulgaria,Bulgarie,Europe,2020-05-15 02:33:02,2100,99,531,1470
Burkina Faso,Burkina Faso,Afrique,2020-05-15 02:33:02,773,51,592,130
Burundi,Burundi,Afrique,2020-05-15 02:33:02,15,1,7,7
Cambodia,Cambodge,Asie,2020-05-15 02:33:02,122,0,121,1
Cameroon,Cameroun,Afrique,2020-05-15 02:33:02,2954,139,1553,1262
Canada,Canada,Amérique du Nord,2020-05-15 02:33:02,74781,5592,36104,33085
Cape Verde,Cap Vert,Afrique,2020-05-15 02:33:02,315,2,67,246
Central African Republic,République d’Afrique Centrale,Afrique,2020-05-15 02:33:02,143,0,10,133
Chad,Tchad,Afrique,2020-05-15 02:33:02,399,46,83,270
Chile,Chili,Amérique du Sud,2020-05-15 02:33:02,37040,368,15655,21017
China,Chine,Asie,2020-05-15 02:33:02,84029,4637,79261,131
Colombia,Colombie,Amérique du Sud,2020-05-15 02:33:02,13610,525,3358,9727
Comoros,Les Comores,Afrique,2020-05-15 02:33:02,11,1,3,7
Congo,Congo,Afrique,2020-05-15 02:33:02,391,15,87,289
Costa Rica,Costa Rica,Amérique du Sud,2020-05-15 02:33:02,830,8,535,287
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-05-15 02:33:02,1971,24,930,1017
Croatia,Croatie,Europe,2020-05-15 02:33:02,2221,94,1850,277
Cuba,Cuba,Amérique Centrale,2020-05-15 02:33:02,1830,79,1383,368
Cyprus,Chypre,Europe,2020-05-15 02:33:02,907,17,481,409
Czech Republic,République Tchèque,Europe,2020-05-15 02:33:02,8351,293,5241,2817
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-05-15 02:33:02,1242,50,157,1035
Denmark,Danemark,Europe,2020-05-15 02:33:02,10911,537,9003,1371
Diamond Princess,Diamond Princess,,2020-05-15 02:33:02,712,13,651,48
Djibouti,Djibouti,Afrique,2020-05-15 02:33:02,1284,3,905,376
Dominica,Dominique,Amérique Centrale,2020-05-15 02:33:02,16,0,15,1
Dominican Republic,République Dominicaine,Amérique Centrale,2020-05-15 02:33:02,11320,422,3351,7547
Ecuador,Équateur,Amérique du Sud,2020-05-15 02:33:02,30502,2338,3433,24731
El Salvador,El Salvador,Amérique Centrale,2020-05-15 02:33:02,1112,23,405,684
Equatorial Guinea,Guinée équatoriale,Afrique,2020-05-15 02:33:02,583,7,13,563
Eritrea,Erythrée,Afrique,2020-05-15 02:33:02,39,0,38,1
Estonia,Estonie,Europe,2020-05-15 02:33:02,1758,62,909,787
Eswatini,Eswatini,Afrique,2020-05-15 02:33:02,187,2,51,134
Ethiopia,Ethiopie,Afrique,2020-05-15 02:33:02,272,5,108,159
Fiji,Iles Fidji,Amérique Centrale,2020-05-15 02:33:02,18,0,14,4
Finland,Finlande,Europe,2020-05-15 02:33:02,6145,287,4300,1558
France,France,Europe,2020-05-15 02:33:02,178994,27428,59719,91847
Gabon,Gabon,Afrique,2020-05-15 02:33:02,1104,10,182,912
Georgia,Géorgie,Asie,2020-05-15 02:33:02,667,12,383,272
Germany,Allemagne,Europe,2020-05-15 02:33:02,174478,7884,150300,16294
Ghana,Ghana,Afrique,2020-05-15 02:33:02,5530,24,674,4832
Greece,Grèce,Europe,2020-05-15 02:33:02,2770,156,1374,1240
Grenada,Grenade,Amérique Centrale,2020-05-15 02:33:02,21,0,14,7
Guatemala,Guatemala,Amérique Centrale,2020-05-15 02:33:02,1518,29,129,1360
Guinea,Guinée,Afrique,2020-05-15 02:33:02,2473,15,895,1563
Guinea-Bissau,Guinée-Bissau,Afrique,2020-05-15 02:33:02,913,3,26,884
Guyana,Guyane,Amérique du Sud,2020-05-15 02:33:02,113,10,42,61
Haiti,Haïti,Amérique Centrale,2020-05-15 02:33:02,273,20,18,235
Holy See,Iles Anglo-Normandes,Europe,2020-05-15 02:33:02,12,0,2,10
Honduras,Honduras,Amérique Centrale,2020-05-15 02:33:02,2318,133,253,1932
Hungary,Hongrie,Europe,2020-05-15 02:33:02,3380,436,1169,1775
Iceland,Islande,Europe,2020-05-15 02:33:02,1802,10,1780,12
India,Inde,Asie,2020-05-15 02:33:02,81997,2649,27969,51379
Indonesia,Indonésie,Asie,2020-05-15 02:33:02,16006,1043,3518,11445
Iraq,Irak,Moyen-Orient,2020-05-15 02:33:02,3143,115,2028,1000
Ireland,Irlande,Europe,2020-05-15 02:33:02,23827,1506,19470,2851
Islamic Republic of Iran,Iran,Moyen-Orient,2020-05-15 02:33:02,114533,6854,90539,17140
Israel,Israël,Moyen-Orient,2020-05-15 02:33:02,16579,265,12521,3793
Italy,Italie,Europe,2020-05-15 02:33:02,223096,31368,115288,76440
Jamaica,Jamaïque,Amérique Centrale,2020-05-15 02:33:02,509,9,118,382
Japan,Japon,Asie,2020-05-15 02:33:02,16120,697,9868,5555
Jordan,Jordanie,Moyen-Orient,2020-05-15 02:33:02,586,9,393,184
Kazakhstan,Kazakhstan,Asie,2020-05-15 02:33:02,5571,32,2531,3008
Kenya,Kenya,Afrique,2020-05-15 02:33:02,758,42,284,432
Kosovo,Kosovo,Europe,2020-05-15 02:33:02,944,29,690,225
Kuwait,Koweit,Moyen-Orient,2020-05-15 02:33:02,11975,88,3451,8436
Kyrgyz Republic,Kirghizistan,Asie,2020-05-15 02:33:02,1082,12,735,335
Lao People's Democratic Republic,Laos,Asie,2020-05-15 02:33:02,19,0,14,5
Latvia,Lettonie,Europe,2020-05-15 02:33:02,962,19,627,316
Lebanon,Liban,Moyen-Orient,2020-05-15 02:33:02,886,26,236,624
Lesotho,Lesotho,Afrique,2020-05-15 02:33:03,1,0,0,1
Liberia,Liberia,Afrique,2020-05-15 02:33:04,215,20,105,90
Libya,Libye,Afrique,2020-05-15 02:33:02,64,3,28,33
Liechtenstein,Liechtenstein,Europe,2020-05-15 02:33:02,82,1,55,26
Lithuania,Lituanie,Europe,2020-05-15 02:33:02,1511,54,934,523
