Country_Region,,,Last_Update,Confirmed,Deaths,Recovered,Active
C-Netherlands,,Europe,2020-03-24 23:37:15,6,1,0,5
C-Netherlands,,Europe,2020-03-24 23:37:15,2,0,0,2
C-Netherlands,,Europe,2020-03-24 23:37:15,5560,276,2,5282
C-United Kingdom,,Europe,2020-03-24 23:37:15,6,0,0,6
C-United Kingdom,,Europe,2020-03-24 23:37:15,6,1,0,5
C-United Kingdom,,Europe,2020-03-24 23:37:15,36,0,0,36
C-United Kingdom,,Europe,2020-03-24 23:37:15,15,0,5,10
C-United Kingdom,,Europe,2020-03-24 23:37:15,23,0,0,23
C-United Kingdom,,Europe,2020-03-24 23:37:15,1,0,0,1
C-United Kingdom,,Europe,2020-03-24 23:37:15,8077,422,135,7520
C-US,,Amérique du Nord,2020-03-24 23:37:16,53740,706,348,52686
Cambodia,Cambodge,Asie,2020-03-24 23:37:15,91,0,4,87
Cameroon,Cameroun,Afrique,2020-03-24 23:37:15,66,0,2,64
Cape Verde,Cap Vert,Afrique,2020-03-24 23:37:15,3,1,0,2
Central African Republic,République d’Afrique Centrale,Afrique,2020-03-24 23:37:15,3,0,0,3
Chad,Tchad,Afrique,2020-03-24 23:37:15,3,0,0,3
Chile,Chili,Amérique du Sud,2020-03-24 23:37:15,922,2,17,903
Colombia,Colombie,Amérique du Sud,2020-03-24 23:37:15,378,3,6,369
Congo,Congo,Afrique,2020-03-24 23:37:15,4,0,0,4
Costa Rica,Costa Rica,Amérique du Sud,2020-03-24 23:37:15,177,2,2,173
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-03-24 23:37:15,73,0,2,71
Croatia,Croatie,Europe,2020-03-24 23:37:15,382,1,5,376
Cuba,Cuba,Amérique Centrale,2020-03-24 23:37:15,48,1,1,46
Cyprus,Chypre,Europe,2020-03-24 23:37:15,124,3,3,118
Czech Republic,République Tchèque,Europe,2020-03-24 23:37:15,1394,3,10,1381
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-03-24 23:37:15,45,2,0,43
Djibouti,Djibouti,Afrique,2020-03-24 23:37:15,3,0,0,3
Dominica,Dominique,Amérique Centrale,2020-03-24 23:37:15,2,0,0,2
Dominican Republic,République Dominicaine,Amérique Centrale,2020-03-24 23:37:15,312,6,3,303
Ecuador,Équateur,Amérique du Sud,2020-03-24 23:37:15,1082,27,3,1052
El Salvador,El Salvador,Amérique Centrale,2020-03-24 23:37:15,5,0,0,5
Equatorial Guinea,Guinée équatoriale,Afrique,2020-03-24 23:37:15,9,0,0,9
Eritrea,Erythrée,Afrique,2020-03-24 23:37:15,1,0,0,1
Estonia,Estonie,Europe,2020-03-24 23:37:15,369,0,7,362
Eswatini,Eswatini,Afrique,2020-03-24 23:37:15,4,0,0,4
Ethiopia,Ethiopie,Afrique,2020-03-24 23:37:15,12,0,0,12
Fiji,Iles Fidji,Amérique Centrale,2020-03-24 23:37:15,4,0,0,4
Finland,Finlande,Europe,2020-03-24 23:37:15,792,1,10,781
Gabon,Gabon,Afrique,2020-03-24 23:37:15,6,1,0,5
Georgia,Géorgie,Asie,2020-03-24 23:37:15,70,0,9,61
Germany,Allemagne,Europe,2020-03-24 23:37:15,32986,157,3243,29586
Ghana,Ghana,Afrique,2020-03-24 23:37:15,53,2,0,51
Greece,Grèce,Europe,2020-03-24 23:37:15,743,20,29,694
Grenada,Grenade,Amérique Centrale,2020-03-24 23:37:15,1,0,0,1
Guatemala,Guatemala,Amérique Centrale,2020-03-24 23:37:15,21,1,0,20
Guinea,Guinée,Afrique,2020-03-24 23:37:15,4,0,0,4
Guyana,Guyane,Amérique du Sud,2020-03-24 23:37:15,5,1,0,4
Haiti,Haïti,Amérique Centrale,2020-03-24 23:37:15,7,0,0,7
Holy See,Iles Anglo-Normandes,Europe,2020-03-24 23:37:15,4,0,0,4
Honduras,Honduras,Amérique Centrale,2020-03-24 23:37:15,30,0,0,30
Hungary,Hongrie,Europe,2020-03-24 23:37:15,187,9,21,157
Iceland,Islande,Europe,2020-03-24 23:37:15,648,2,51,595
India,Inde,Asie,2020-03-24 23:37:15,536,10,40,486
Indonesia,Indonésie,Asie,2020-03-24 23:37:15,686,55,30,601
Iraq,Irak,Moyen-Orient,2020-03-24 23:37:15,316,27,75,214
Ireland,Irlande,Europe,2020-03-24 23:37:15,1329,7,5,1317
Islamic Republic of Iran,Iran,Moyen-Orient,2020-03-24 23:37:15,24811,1934,8913,13964
Israel,Israël,Moyen-Orient,2020-03-24 23:37:15,1930,3,53,1874
Italy,Italie,Europe,2020-03-24 23:37:15,69176,6820,8326,54030
Jamaica,Jamaïque,Amérique Centrale,2020-03-24 23:37:15,21,1,2,18
Japan,Japon,Asie,2020-03-24 23:37:15,1193,43,285,865
Jordan,Jordanie,Moyen-Orient,2020-03-24 23:37:15,154,0,1,153
Kazakhstan,Kazakhstan,Asie,2020-03-24 23:37:15,72,0,0,72
Kenya,Kenya,Afrique,2020-03-24 23:37:15,25,0,0,25
Kuwait,Kosovo,Europe,2020-03-24 23:37:15,191,0,39,152
Kyrgyz Republic,Koweit,Moyen-Orient,2020-03-24 23:37:15,42,0,0,42
Laos,Kirghizistan,Asie,2020-03-24 23:37:15,2,0,0,2
Latvia,Lettonie,Europe,2020-03-24 23:37:15,197,0,1,196
Lebanon,Liban,Moyen-Orient,2020-03-24 23:37:15,318,4,8,306
