PROVINCE,Sum - CASES
Antwerpen,2589
BrabantWallon,541
Brussels,2215
Hainaut,2049
Liège,1779
Limburg,2429
Luxembourg,614
Namur,564
OostVlaanderen,2287
VlaamsBrabant,2086
WestVlaanderen,2212
(empty),326
Total Result,19691
