French Name,Confirmed,Deaths,Recovered,Existing
Europe,1283139,122107,425880,735152
Amérique du Nord,997489,57609,123534,816346
Asie,281825,8791,119676,153358
Moyen-Orient,147847,6215,82355,59277
Amérique du Sud,131943,6025,48068,77850
Reste du monde,53319,2075,16391,34853
