French Name,Confirmed,Deaths,Recovered,Existing
Europe,577846,42667,103461,431718
Amérique du Nord,289533,7316,12515,259619
Asie,120858,4159,86685,30014
Moyen-Orient,67506,3451,19384,44671
Amérique du Sud,21483,681,1615,19187
Afrique,7903,331,702,6870
Océanie,6199,29,752,5418
Amérique Centrale,3868,140,63,3665
