French Name,Confirmed,Deaths,Recovered,Existing
Europe,1076244,97733,295354,683157
Amérique du Nord,738817,38614,71215,628988
Asie,196863,7250,102643,86970
Moyen-Orient,115906,5362,61587,48957
Amérique du Sud,73073,3322,26882,42869
Reste du monde,27618,1088,9191,17339
