French Name,Confirmed,Deaths,Recovered,Existing
Europe,891569,74507,212331,604731
Amérique du Nord,553556,21350,38492,493714
Asie,153247,4970,94556,53721
Moyen-Orient,95580,4643,46002,44935
Amérique du Sud,48152,1928,5229,40995
Reste du monde,21179,798,4558,15823
