French Name,Confirmed,Deaths,Recovered,Existing
Europe,1132540,103440,318291,710809
Amérique du Nord,802216,42875,84811,674530
Asie,217837,7619,106336,103882
Moyen-Orient,123143,5563,65909,51671
Amérique du Sud,82703,3852,36374,42477
Reste du monde,41690,1671,11432,28587
