French Name,Confirmed,Deaths,Recovered,Existing
Europe,966453,84566,245867,636020
Amérique du Nord,639719,27064,57937,554718
Asie,172754,5485,98678,68591
Moyen-Orient,105289,5029,53911,46349
Amérique du Sud,58201,2514,10636,45051
Reste du monde,23948,939,6013,16996
