French Name,Confirmed,Deaths,Recovered,Existing
Europe,531269,37275,92338,401656
Amérique du Nord,256115,6102,10771,239242
Asie,118126,4085,85871,28170
Moyen-Orient,63337,3306,17976,42055
Amérique du Sud,19440,598,1489,17353
Afrique,6974,285,573,6116
Océanie,5914,25,612,5277
Amérique Centrale,3534,125,60,3349
