French Name,Confirmed,Deaths,Recovered,Existing
Europe,1323143,126051,472276,724816
Amérique du Nord,1053342,60534,138778,854030
Asie,304690,9168,124012,171510
Moyen-Orient,156308,6400,86989,62919
Amérique du Sud,145770,6798,51829,87143
Reste du monde,57322,2192,19303,35827
