Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-02 23:25:14,273,6,10,257
Albania,Albanie,Europe,2020-04-02 23:25:14,277,16,76,185
Algeria,Algérie,Afrique,2020-04-02 23:25:14,986,86,61,839
Andorra,Andorre,Europe,2020-04-02 23:25:14,428,15,10,403
Angola,Angola,Afrique,2020-04-02 23:25:14,8,2,1,5
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-02 23:25:14,9,0,0,9
Arab Republic of Egypt,Égypte,Afrique,2020-04-02 23:25:14,865,58,201,606
Argentina,Argentine,Amérique du Sud,2020-04-02 23:25:14,1133,36,256,841
Armenia,Arménie,Asie,2020-04-02 23:25:14,663,7,33,623
Australia,Australie,Océanie,2020-04-02 23:32:01,5116,24,520,4572
Austria,Autriche,Europe,2020-04-02 23:32:01,11129,158,1749,9222
Azerbaijan,Azebaïdjan,Asie,2020-04-02 23:32:01,400,5,26,369
Bahrain,Bahrein,Asie,2020-04-02 23:32:01,643,4,381,258
Bangladesh,Bangladesh,Asie,2020-04-02 23:32:01,56,6,25,25
Barbados,Barbados,Amérique Centrale,2020-04-02 23:32:01,46,0,0,46
Belarus,Biélorusse,Europe,2020-04-02 23:32:01,304,4,53,247
Belgium,Belgique,Europe,2020-04-03 11:32:01,16770,1143,2872,12755
Belize,Belize,Amérique Centrale,2020-04-02 23:25:14,3,0,0,3
Benin,Bénin,Afrique,2020-04-02 23:25:14,13,0,1,12
Bhutan,Bhoutan,Asie,2020-04-02 23:25:14,5,0,1,4
Bolivia,Bolivie,Amérique du Sud,2020-04-02 23:25:14,123,8,1,114
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-02 23:25:14,533,16,20,497
Botswana,Botswana,Afrique,2020-04-02 23:25:14,4,1,0,3
Brazil,Brésil,Amérique du Sud,2020-04-02 23:25:14,8044,324,127,7593
Brunei Darussalam,Brunei,Asie,2020-04-02 23:25:14,133,1,56,76
Bulgaria,Bulgarie,Europe,2020-04-02 23:25:14,457,10,25,422
Burkina Faso,Burkina Faso,Afrique,2020-04-02 23:25:14,288,16,50,222
Burundi,Burundi,Afrique,2020-04-02 23:25:14,3,0,0,3
Cambodia,Cambodge,Asie,2020-04-02 23:25:14,110,0,34,76
Cameroon,Cameroun,Afrique,2020-04-02 23:25:14,306,7,10,289
Canada,Canada,Amérique du Nord,2020-04-02 23:25:14,11284,139,1735,9410
Cape Verde,Cap Vert,Afrique,2020-04-02 23:25:14,6,1,0,5
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-02 23:25:14,3,0,0,3
Chad,Tchad,Afrique,2020-04-02 23:25:14,8,0,0,8
Chile,Chili,Amérique du Sud,2020-04-02 23:25:14,3404,18,335,3051
China,Chine,Asie,2020-04-02 23:25:14,82432,3322,76565,2545
Colombia,Colombie,Amérique du Sud,2020-04-02 23:25:14,1161,19,55,1087
Congo,Congo,Afrique,2020-04-02 23:31:46,22,2,2,18
Costa Rica,Costa Rica,Amérique du Sud,2020-04-02 23:31:46,396,2,6,388
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-02 23:31:46,194,1,15,178
Croatia,Croatie,Europe,2020-04-02 23:31:46,1011,7,88,916
Cuba,Cuba,Amérique Centrale,2020-04-02 23:31:46,233,6,13,214
Cyprus,Chypre,Europe,2020-04-02 23:31:46,356,10,28,318
Czech Republic,République Tchèque,Europe,2020-04-02 23:31:46,3858,44,67,3747
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-02 23:31:46,134,13,3,118
Denmark,Danemark,Europe,2020-04-02 23:31:46,3573,123,1172,2278
Diamond Princess,Diamond Princess,,2020-04-02 23:31:46,712,11,619,82
Djibouti,Djibouti,Afrique,2020-04-02 23:31:46,40,0,0,40
Dominica,Dominique,Amérique Centrale,2020-04-02 23:31:46,12,0,0,12
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-02 23:31:46,1380,60,16,1304
Ecuador,Équateur,Amérique du Sud,2020-04-02 23:31:46,3163,120,65,2978
El Salvador,El Salvador,Amérique Centrale,2020-04-02 23:31:46,41,2,0,39
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-02 23:25:14,15,0,1,14
Eritrea,Erythrée,Afrique,2020-04-02 23:25:14,22,0,0,22
Estonia,Estonie,Europe,2020-04-02 23:25:14,858,11,45,802
Eswatini,Eswatini,Afrique,2020-04-02 23:25:14,9,0,0,9
Ethiopia,Ethiopie,Afrique,2020-04-02 23:25:15,29,0,3,26
Fiji,Iles Fidji,Amérique Centrale,2020-04-02 23:25:16,7,0,0,7
Finland,Finlande,Europe,2020-04-02 23:25:17,1518,19,300,1199
France,France,Europe,2020-04-02 23:25:18,59929,5398,12548,41983
Gabon,Gabon,Afrique,2020-04-02 23:25:19,21,1,0,20
Georgia,Géorgie,Asie,2020-04-02 23:25:20,134,0,26,108
Germany,Allemagne,Europe,2020-04-02 23:25:21,84794,1107,22440,61247
Ghana,Ghana,Afrique,2020-04-02 23:25:22,204,5,31,168
Greece,Grèce,Europe,2020-04-02 23:25:23,1544,53,61,1430
Grenada,Grenade,Amérique Centrale,2020-04-02 23:25:24,10,0,0,10
Guatemala,Guatemala,Amérique Centrale,2020-04-02 23:25:25,47,1,12,34
Guinea,Guinée,Afrique,2020-04-02 23:25:26,52,0,0,52
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-02 23:25:27,9,0,0,9
Guyana,Guyane,Amérique du Sud,2020-04-02 23:25:28,19,4,0,15
Haiti,Haïti,Amérique Centrale,2020-04-02 23:25:29,16,0,1,15
Holy See,Iles Anglo-Normandes,Europe,2020-04-02 23:25:30,7,0,0,7
Honduras,Honduras,Amérique Centrale,2020-04-02 23:25:31,219,14,3,202
Hungary,Hongrie,Europe,2020-04-02 23:25:32,585,21,42,522
Iceland,Islande,Europe,2020-04-02 23:25:33,1319,4,284,1031
India,Inde,Asie,2020-04-02 23:25:34,2543,72,191,2280
Indonesia,Indonésie,Asie,2020-04-02 23:25:35,1790,170,112,1508
Iraq,Irak,Moyen-Orient,2020-04-02 23:25:36,772,54,202,516
Ireland,Irlande,Europe,2020-04-02 23:25:37,3849,98,5,3746
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-02 23:25:38,50468,3160,16711,30597
Israel,Israël,Moyen-Orient,2020-04-02 23:25:39,6857,36,338,6483
Italy,Italie,Europe,2020-04-02 23:25:40,115242,13915,18278,83049
Jamaica,Jamaïque,Amérique Centrale,2020-04-02 23:25:41,47,3,2,42
Japan,Japon,Asie,2020-04-02 23:25:42,2495,62,472,1961
Jordan,Jordanie,Moyen-Orient,2020-04-02 23:25:43,299,5,45,249
Kazakhstan,Kazakhstan,Asie,2020-04-02 23:25:44,435,3,27,405
Kenya,Kenya,Afrique,2020-04-02 23:25:45,110,3,4,103
Kosovo,Kosovo,Europe,2020-04-02 23:25:46,125,1,10,114
Kuwait,Koweit,Moyen-Orient,2020-04-02 01:20:50,342,0,81,261
Kyrgyz Republic,Kirghizistan,Asie,2020-04-02 23:25:14,116,0,5,111
Lao People's Democratic Republic,Laos,Asie,2020-04-02 23:25:14,10,0,0,10
Latvia,Lettonie,Europe,2020-04-02 23:25:14,458,0,31,427
Lebanon,Liban,Moyen-Orient,2020-04-02 23:25:14,494,16,46,432
Liberia,Liberia,Afrique,2020-04-02 23:25:14,6,0,0,6
Libya,Libye,Afrique,2020-04-02 23:25:14,11,1,0,10
Liechtenstein,Liechtenstein,Europe,2020-04-02 23:25:14,75,0,0,75
Lithuania,Lituanie,Europe,2020-04-02 23:25:14,649,9,7,633
Luxembourg,Luxembourg,Europe,2020-04-02 23:25:14,2487,30,80,2377
Macedonia,Macédoine du Nord,Europe,2020-04-01 21:58:34,384,11,17,356
Madagascar,Madagascar,Afrique,2020-04-02 23:25:14,59,0,0,59
Malawi,Malawi,Afrique,2020-04-02 23:25:14,3,0,0,3
Malaysia,Malaisie,Asie,2020-04-02 23:25:14,3116,50,767,2299
Maldives,Maldives,Asie,2020-04-02 23:25:14,19,0,13,6
Mali,Mali,Afrique,2020-04-02 23:25:14,36,3,0,33
Malta,Malte,Europe,2020-04-02 23:25:14,196,0,2,194
Mauritania,Mauritanie,Afrique,2020-04-02 23:25:14,6,1,2,3
Mauritius,Maurice,Afrique,2020-04-02 23:25:14,169,7,0,162
Mexico,Mexique,Amérique du Nord,2020-04-02 23:25:14,1378,37,35,1306
Moldova,Moldavie,Asie,2020-04-02 23:25:14,505,6,23,476
Monaco,Monaco,Europe,2020-04-02 23:25:14,60,1,2,57
Mongolia,Mongolie,Asie,2020-04-02 23:25:14,14,0,2,12
Montenegro,Montenegro,Europe,2020-04-02 23:25:14,144,2,0,142
Morocco,Maroc,Afrique,2020-04-02 23:25:14,708,44,31,633
Mozambique,Mozambique,Afrique,2020-04-02 23:25:14,10,0,0,10
MS Zaandam,MS Zaandam,,2020-04-02 23:25:14,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-02 23:25:14,20,1,0,19
Namibia,Namibie,Afrique,2020-04-02 23:25:14,14,0,3,11
Nepal,Népal,Asie,2020-04-02 23:25:14,6,0,1,5
Netherlands,,,2020-04-02 23:25:14,14788,1341,260,13187
New Zealand,Nouvelle-Zélande,Océanie,2020-04-02 23:25:14,797,1,92,704
Nicaragua,Nicaragua,Amérique Centrale,2020-04-02 23:25:14,5,1,0,4
Niger,Niger,Afrique,2020-04-02 23:25:14,98,5,0,93
Nigeria,Nigeria,Afrique,2020-04-02 23:25:14,184,2,20,162
North Macedonia,Macédoine du Nord,Europe,2020-04-02 23:25:14,384,11,17,356
Norway,Norvège,Europe,2020-04-02 23:25:14,5147,50,32,5065
Oman,Oman,Moyen-Orient,2020-04-02 23:25:14,231,1,57,173
Pakistan,Pakistan,Asie,2020-04-02 23:25:14,2421,34,125,2262
Panama,Panama,Amérique Centrale,2020-04-02 23:25:14,1317,32,9,1276
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-02 23:25:14,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,2020-04-02 23:25:14,77,3,2,72
Peru,Pérou,Amérique du Sud,2020-04-02 23:25:14,1414,55,537,822
Philippines,Philippines,Asie,2020-04-02 23:25:14,2633,107,51,2475
Poland,Pologne,Europe,2020-04-02 23:25:14,2946,57,56,2833
Portugal,Portugal,Europe,2020-04-02 23:25:14,9034,209,68,8757
Qatar,Qatar,Moyen-Orient,2020-04-02 23:25:14,949,3,72,874
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-04-02 23:25:14,146,5,43,98
Republic of Korea,Corée du Sud,Asie,2020-04-02 23:25:14,9976,169,5828,3979
Republic of Serbia,Serbie,Europe,2020-04-01 21:58:34,1171,31,0,1140
Romania,Roumanie,Europe,2020-04-02 23:25:14,2738,115,267,2356
Russian Federation,Russie,Asie,2020-04-02 23:25:14,3548,30,235,3283
Rwanda,Rwanda,Afrique,2020-04-02 23:25:14,84,0,0,84
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-04-02 23:25:14,9,0,0,9
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-04-02 23:25:14,13,0,1,12
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-04-02 23:25:14,2,0,1,1
San Marino,Saint Marin,Europe,2020-04-02 23:25:14,245,30,21,194
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-04-02 23:25:14,1885,21,328,1536
Senegal,Sénégal,Afrique,2020-04-02 23:25:14,195,1,55,139
Serbia,Serbie,Europe,2020-04-02 23:25:14,1171,31,0,1140
Seychelles,Seychelles,Asie,2020-04-02 23:25:14,10,0,0,10
Sierra Leone,Sierra Leone,Afrique,2020-04-02 23:25:14,2,0,0,2
Singapore,Singapour,Asie,2020-04-02 23:25:14,1049,4,266,779
Slovak Republic,Slovaquie,Europe,2020-04-02 23:25:14,426,1,5,420
Slovakia,Slovaquie,Europe,2020-04-01 21:58:34,4526,1,5,4520
Slovenia,Slovénie,Europe,2020-04-02 23:25:14,897,17,70,810
Somalia,Somalie,Afrique,2020-04-02 23:25:14,5,0,1,4
South Africa,Afrique du Sud,Afrique,2020-04-02 23:25:14,1462,5,50,1407
Spain,Espagne,Europe,2020-04-02 23:25:14,112065,10348,26743,74974
Sri Lanka,Sri Lanka,Asie,2020-04-02 23:25:14,151,4,21,126
Sudan,Soudan,Afrique,2020-04-02 23:25:14,8,2,2,4
Suriname,Suriname,Amérique du Sud,2020-04-02 23:25:14,10,0,0,10
Sweden,Suède,Europe,2020-04-02 23:25:14,5568,308,103,5157
Switzerland,Suisse,Europe,2020-04-02 23:25:14,18827,536,4013,14278
Syrian Arab Republic,Syrie,Moyen-Orient,2020-04-02 23:25:14,16,2,0,14
Taiwan,Taiwan,Asie,2020-04-02 23:25:14,339,5,45,289
Tanzania,Tanzanie,Afrique,2020-04-02 23:25:14,20,1,2,17
Thailand,Thaïlande,Asie,2020-04-02 23:25:14,1875,15,505,1355
The Bahamas,Les Bahamas,Amérique Centrale,2020-04-02 23:25:14,24,1,1,22
The Gambia,Gambie,Afrique,2020-04-02 23:25:14,4,1,2,1
Timor-Leste,Timor Oriental,Asie,2020-04-02 23:25:14,1,0,0,1
Togo,Togo,Afrique,2020-04-02 23:25:14,39,2,17,20
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-04-02 23:25:14,94,5,1,88
Tunisia,Tunisie,Afrique,2020-04-02 23:25:14,455,14,5,436
Turkey,Turquie,Europe,2020-04-02 23:25:14,18135,356,415,17364
Uganda,Ouganda,Afrique,2020-04-02 23:25:14,45,0,0,45
Ukraine,Ukraine,Europe,2020-04-02 23:25:14,897,22,19,856
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-04-02 23:25:14,1024,8,96,920
United Kingdom,Royaume-Uni,Europe,2020-04-02 23:25:14,34173,2926,192,31055
United States of America,États-Unis,Amérique du Nord,2020-04-02 23:25:14,243453,5926,9001,228526
Uruguay,Uruguay,Amérique du Sud,2020-04-02 23:25:14,350,4,62,284
Uzbekistan,Ouzbékistan,Asie,2020-04-02 23:25:14,205,2,25,178
Vietnam,Vietnam,Asie,2020-04-02 23:25:14,233,0,75,158
West Bank and Gaza,Palestine,Moyen-Orient,2020-04-02 23:25:14,161,1,18,142
Zambia,Zambie,Afrique,2020-04-02 23:25:14,39,1,0,38
Zimbabwe,Zimbabwe,Afrique,2020-04-02 23:25:14,9,1,0,8
