French Name,Confirmed,Deaths,Recovered,Existing
Europe,811705,66667,186957,558081
Amérique du Nord,485272,17155,31205,436912
Asie,143125,4715,92035,46375
Moyen-Orient,88676,4362,35452,48862
Amérique du Sud,39904,1607,4101,34196
Afrique,12188,623,1600,9965
Océanie,7349,52,1789,5508
Amérique Centrale,6356,257,193,5906
