French Name,Confirmed,Deaths,Recovered,Existing
Europe,966453,84566,245867,636020
Amérique du Nord,639719,27064,57937,554718
Asie,172754,5485,98678,68591
Moyen-Orient,105289,5029,53911,46349
Amérique du Sud,58201,2514,10636,45051
Afrique,16165,868,3199,12098
Océanie,7783,71,2814,4898
Amérique Centrale,8731,367,488,7876
