Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-20 23:36:47,1026,36,135,855
Albania,Albanie,Europe,2020-04-20 23:36:47,584,26,327,231
Algeria,Algérie,Afrique,2020-04-20 23:36:47,2718,384,1099,1235
Andorra,Andorre,Europe,2020-04-20 23:36:47,717,37,248,432
Angola,Angola,Afrique,2020-04-20 23:36:47,24,2,6,16
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-20 23:36:47,23,3,3,17
Arab Republic of Egypt,Égypte,Afrique,2020-04-20 23:36:47,3333,250,821,2262
Argentina,Argentine,Amérique du Sud,2020-04-20 23:36:47,2941,136,737,2068
Armenia,Arménie,Asie,2020-04-20 23:36:47,1339,22,580,737
Australia,Australie,Océanie,2020-04-20 23:36:47,6547,67,4124,2356
Austria,Autriche,Europe,2020-04-20 23:36:47,14795,470,10631,3694
Azerbaijan,Azebaïdjan,Asie,2020-04-20 23:36:47,1436,19,791,626
Bahrain,Bahrein,Asie,2020-04-20 23:36:47,1907,7,769,1131
Bangladesh,Bangladesh,Asie,2020-04-20 23:36:47,2948,101,85,2762
Barbados,Barbados,Amérique Centrale,2020-04-20 23:36:47,75,5,19,51
Belarus,Biélorusse,Europe,2020-04-20 23:36:47,6264,51,514,5699
Belgium,Belgique,Europe,2020-04-20 23:36:47,39983,5828,8895,25260
Belize,Belize,Amérique Centrale,2020-04-20 23:36:47,18,2,2,14
Benin,Bénin,Afrique,2020-04-20 23:36:47,54,1,27,26
Bhutan,Bhoutan,Asie,2020-04-20 23:36:47,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-20 23:36:47,564,33,31,500
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-20 23:36:47,1309,49,381,879
Botswana,Botswana,Afrique,2020-04-20 23:36:47,20,1,0,19
Brazil,Brésil,Amérique du Sud,2020-04-20 23:36:47,40743,2587,22130,16026
Brunei Darussalam,Brunei,Asie,2020-04-20 23:36:47,138,1,116,21
Bulgaria,Bulgarie,Europe,2020-04-20 23:36:47,929,43,167,719
Burkina Faso,Burkina Faso,Afrique,2020-04-20 23:36:47,581,38,357,186
Burundi,Burundi,Afrique,2020-04-20 23:36:47,5,1,4,0
Cambodia,Cambodge,Asie,2020-04-20 23:36:47,122,0,107,15
Cameroon,Cameroun,Afrique,2020-04-20 23:36:47,1163,42,305,816
Canada,Canada,Amérique du Nord,2020-04-20 23:36:47,37658,1726,12543,23389
Cape Verde,Cap Vert,Afrique,2020-04-20 23:36:47,67,1,1,65
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-20 23:36:47,12,0,4,8
Chad,Tchad,Afrique,2020-04-20 23:36:47,33,0,8,25
Chile,Chili,Amérique du Sud,2020-04-20 23:36:47,10507,139,4676,5692
China,Chine,Asie,2020-04-20 23:44:33,83817,4636,77745,1436
Colombia,Colombie,Amérique du Sud,2020-04-20 23:36:47,3977,189,804,2984
Congo,Congo,Afrique,2020-04-20 23:36:47,160,6,16,138
Costa Rica,Costa Rica,Amérique du Sud,2020-04-20 23:36:47,662,6,124,532
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-20 23:36:47,847,9,260,578
Croatia,Croatie,Europe,2020-04-20 23:36:47,1881,47,771,1063
Cuba,Cuba,Amérique Centrale,2020-04-20 23:36:47,1087,36,285,766
Cyprus,Chypre,Europe,2020-04-20 23:36:47,772,12,81,679
Czech Republic,République Tchèque,Europe,2020-04-20 23:36:47,6900,194,1559,5147
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-20 23:36:47,332,25,27,280
Denmark,Danemark,Europe,2020-04-20 23:36:47,7711,364,4499,2848
Diamond Princess,Diamond Princess,,2020-04-20 23:36:47,712,13,644,55
Djibouti,Djibouti,Afrique,2020-04-20 23:36:47,846,2,102,742
Dominica,Dominique,Amérique Centrale,2020-04-20 23:36:47,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-20 23:36:47,4964,235,416,4313
Ecuador,Équateur,Amérique du Sud,2020-04-20 23:36:47,10128,507,1150,8471
El Salvador,El Salvador,Amérique Centrale,2020-04-20 23:36:47,218,7,46,165
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-20 23:36:47,79,0,7,72
Eritrea,Erythrée,Afrique,2020-04-20 23:36:47,39,0,3,36
Estonia,Estonie,Europe,2020-04-20 23:36:47,1535,40,165,1330
Eswatini,Eswatini,Afrique,2020-04-20 23:36:47,24,1,8,15
Ethiopia,Ethiopie,Afrique,2020-04-20 23:36:47,111,3,16,92
Fiji,Iles Fidji,Amérique Centrale,2020-04-20 23:36:47,18,0,3,15
Finland,Finlande,Europe,2020-04-20 23:36:47,3868,98,2000,1770
France,France,Europe,2020-04-20 23:36:47,156480,20292,38036,98152
Gabon,Gabon,Afrique,2020-04-20 23:44:33,120,1,7,112
Georgia,Géorgie,Asie,2020-04-20 23:36:47,402,4,95,303
Germany,Allemagne,Europe,2020-04-20 23:36:47,147065,4862,91500,50703
Ghana,Ghana,Afrique,2020-04-20 23:36:47,1042,9,99,934
Greece,Grèce,Europe,2020-04-20 23:36:47,2245,116,269,1860
Grenada,Grenade,Amérique Centrale,2020-04-20 23:36:47,14,0,6,8
Guatemala,Guatemala,Amérique Centrale,2020-04-20 23:36:47,289,7,21,261
Guinea,Guinée,Afrique,2020-04-20 23:36:47,622,5,122,495
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-20 23:36:47,50,0,3,47
Guyana,Guyane,Amérique du Sud,2020-04-20 23:36:47,65,7,9,49
Haiti,Haïti,Amérique Centrale,2020-04-20 23:36:47,57,3,0,54
Holy See,Iles Anglo-Normandes,Europe,2020-04-20 23:36:47,9,0,2,7
Honduras,Honduras,Amérique Centrale,2020-04-20 23:36:47,477,46,25,406
Hungary,Hongrie,Europe,2020-04-20 23:36:47,1984,199,267,1518
Iceland,Islande,Europe,2020-04-20 23:36:47,1773,10,1362,401
India,Inde,Asie,2020-04-20 23:36:47,18539,592,3273,14674
Indonesia,Indonésie,Asie,2020-04-20 23:36:47,6760,590,747,5423
Iraq,Irak,Moyen-Orient,2020-04-20 23:36:47,1574,82,1043,449
Ireland,Irlande,Europe,2020-04-20 23:36:47,15652,687,77,14888
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-20 23:36:47,83505,5209,59273,19023
Israel,Israël,Moyen-Orient,2020-04-20 23:36:47,13713,177,4049,9487
Italy,Italie,Europe,2020-04-20 23:36:47,181228,24114,48877,108237
Jamaica,Jamaïque,Amérique Centrale,2020-04-20 23:36:47,223,5,27,191
Japan,Japon,Asie,2020-04-20 23:36:47,10797,236,1159,9402
Jordan,Jordanie,Moyen-Orient,2020-04-20 23:36:47,425,7,282,136
Kazakhstan,Kazakhstan,Asie,2020-04-20 23:36:47,1852,19,447,1386
Kenya,Kenya,Afrique,2020-04-20 23:36:47,281,14,69,198
Kosovo,Kosovo,Europe,2020-04-20 23:36:47,510,12,93,405
Kuwait,Koweit,Moyen-Orient,2020-04-20 23:36:47,1995,9,367,1619
Kyrgyz Republic,Kirghizistan,Asie,2020-04-20 23:36:47,568,7,201,360
Lao People's Democratic Republic,Laos,Asie,2020-04-20 23:36:47,19,0,2,17
Latvia,Lettonie,Europe,2020-04-20 23:36:47,739,5,88,646
Lebanon,Liban,Moyen-Orient,2020-04-20 23:36:47,677,21,103,553
Liberia,Liberia,Afrique,2020-04-20 23:36:47,99,8,7,84
Libya,Libye,Afrique,2020-04-20 23:36:47,51,1,15,35
Liechtenstein,Liechtenstein,Europe,2020-04-20 23:36:47,81,1,55,25
Lithuania,Lituanie,Europe,2020-04-20 23:36:47,1326,37,242,1047
Luxembourg,Luxembourg,Europe,2020-04-20 23:36:47,3558,75,637,2846
Madagascar,Madagascar,Afrique,2020-04-20 23:36:47,121,0,41,80
Malawi,Malawi,Afrique,2020-04-20 23:36:47,17,2,3,12
Malaysia,Malaisie,Asie,2020-04-20 23:36:47,5425,89,3295,2041
Maldives,Maldives,Asie,2020-04-20 23:36:47,69,0,16,53
Mali,Mali,Afrique,2020-04-20 23:36:47,246,14,56,176
Malta,Malte,Europe,2020-04-20 23:36:47,431,3,126,302
Mauritania,Mauritanie,Afrique,2020-04-20 23:36:47,7,1,6,0
Mauritius,Maurice,Afrique,2020-04-20 23:36:47,328,9,224,95
Mexico,Mexique,Amérique du Nord,2020-04-20 23:44:33,8261,686,2627,4948
Moldova,Moldavie,Asie,2020-04-20 23:44:33,2548,70,457,2021
Monaco,Monaco,Europe,2020-04-20 23:36:47,94,3,23,68
Mongolia,Mongolie,Asie,2020-04-20 23:36:47,33,0,7,26
Montenegro,Montenegro,Europe,2020-04-20 23:36:47,312,5,88,219
Morocco,Maroc,Afrique,2020-04-20 23:36:47,3046,143,350,2553
Mozambique,Mozambique,Afrique,2020-04-20 23:36:47,39,0,8,31
MS Zaandam,MS Zaandam,,2020-04-20 23:36:47,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-20 23:36:47,119,5,7,107
Namibia,Namibie,Afrique,2020-04-20 23:36:47,16,0,6,10
Nepal,Népal,Asie,2020-04-20 23:36:47,31,0,4,27
Netherlands,Pays-Bas,Europe,2020-04-20 23:36:47,33588,3764,322,29502
New Zealand,Nouvelle-Zélande,Océanie,2020-04-20 23:36:47,1440,12,974,454
Nicaragua,Nicaragua,Amérique Centrale,2020-04-20 23:36:47,10,2,6,2
Niger,Niger,Afrique,2020-04-20 23:36:47,648,20,117,511
Nigeria,Nigeria,Afrique,2020-04-20 23:36:47,665,22,188,455
North Macedonia,Macédoine du Nord,Europe,2020-04-20 23:36:47,1225,54,200,971
Norway,Norvège,Europe,2020-04-20 23:36:47,7156,181,32,6943
Oman,Oman,Moyen-Orient,2020-04-20 23:36:47,1410,7,238,1165
Pakistan,Pakistan,Asie,2020-04-20 23:36:47,8418,176,1970,6272
Panama,Panama,Amérique Centrale,2020-04-20 23:36:47,4467,126,165,4176
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-20 23:36:47,7,0,0,7
Paraguay,Paraguay,Amérique du Sud,2020-04-20 23:36:47,208,8,46,154
Peru,Pérou,Amérique du Sud,2020-04-20 23:36:47,16325,445,6968,8912
Philippines,Philippines,Asie,2020-04-20 23:36:47,6459,428,613,5418
Poland,Pologne,Europe,2020-04-20 23:36:47,9593,380,1133,8080
Portugal,Portugal,Europe,2020-04-20 23:36:47,20863,735,610,19518
Qatar,Qatar,Moyen-Orient,2020-04-20 23:36:47,6015,9,555,5451
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-04-20 23:36:47,256,9,117,130
Republic of Korea,Corée du Sud,Asie,2020-04-20 23:36:47,10674,236,8114,2324
Republic of Yemen,Yemen,Moyen-Orient,2020-04-20 23:36:47,1,0,0,1
Romania,Roumanie,Europe,2020-04-20 23:36:47,8936,478,2017,6441
Russian Federation,Russie,Asie,2020-04-20 23:36:47,47121,405,3446,43270
Rwanda,Rwanda,Afrique,2020-04-20 23:36:47,147,0,76,71
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-04-20 23:36:47,15,0,0,15
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-04-20 23:36:47,15,0,13,2
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-04-20 23:36:47,12,0,1,11
San Marino,Saint Marin,Europe,2020-04-20 23:36:47,462,39,61,362
Sao Tome and Principe,Sao Tomé-et-Principe,Afrique,2020-04-20 23:36:47,4,0,0,4
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-04-20 23:36:47,10484,103,1490,8891
Senegal,Sénégal,Afrique,2020-04-20 23:36:47,377,5,235,137
Serbia,Serbie,Europe,2020-04-20 23:36:47,6630,125,870,5635
Seychelles,Seychelles,Asie,2020-04-20 23:36:47,11,0,5,6
Sierra Leone,Sierra Leone,Afrique,2020-04-20 23:36:47,43,0,6,37
Singapore,Singapour,Asie,2020-04-20 23:36:47,8014,11,801,7202
Slovak Republic,Slovaquie,Europe,2020-04-20 23:36:47,1173,13,251,909
Slovenia,Slovénie,Europe,2020-04-20 23:36:47,1335,77,193,1065
Somalia,Somalie,Afrique,2020-04-20 23:36:47,237,8,4,225
South Africa,Afrique du Sud,Afrique,2020-04-20 23:36:47,3300,58,1055,2187
South Sudan,Sud Soudan,Afrique,2020-04-20 23:36:47,4,0,0,4
Spain,Espagne,Europe,2020-04-20 23:36:47,200210,20852,80587,98771
Sri Lanka,Sri Lanka,Asie,2020-04-20 23:36:47,304,7,98,199
Sudan,Soudan,Afrique,2020-04-20 23:36:47,107,12,8,87
Suriname,Suriname,Amérique du Sud,2020-04-20 23:36:47,10,1,6,3
Sweden,Suède,Europe,2020-04-20 23:36:47,14777,1580,550,12647
Switzerland,Suisse,Europe,2020-04-20 23:36:47,27944,1429,18600,7915
Syrian Arab Republic,Syrie,Moyen-Orient,2020-04-20 23:36:47,39,3,5,31
Taiwan,Taiwan,Asie,2020-04-20 23:36:47,422,6,203,213
Tanzania,Tanzanie,Afrique,2020-04-20 23:36:47,254,10,11,233
Thailand,Thaïlande,Asie,2020-04-20 23:36:47,2792,47,1999,746
The Bahamas,Les Bahamas,Amérique Centrale,2020-04-20 23:36:47,60,9,11,40
The Gambia,Gambie,Afrique,2020-04-20 23:36:47,10,1,2,7
Timor-Leste,Timor Oriental,Asie,2020-04-20 23:36:47,22,0,1,21
Togo,Togo,Afrique,2020-04-20 23:36:47,84,6,53,25
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-04-20 23:36:47,114,8,22,84
Tunisia,Tunisie,Afrique,2020-04-20 23:36:47,884,38,148,698
Turkey,Turquie,Europe,2020-04-20 23:36:47,90980,2140,13430,75410
Uganda,Ouganda,Afrique,2020-04-20 23:36:47,56,0,38,18
Ukraine,Ukraine,Europe,2020-04-20 23:36:47,5710,151,359,5200
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-04-20 23:36:47,7265,43,1360,5862
United Kingdom,Royaume-Uni,Europe,2020-04-20 23:36:47,125856,16550,446,108860
United States of America,États-Unis,Amérique du Nord,2020-04-20 23:36:47,784326,42094,72329,669903
Uruguay,Uruguay,Amérique du Sud,2020-04-20 23:36:47,535,10,313,212
Uzbekistan,Ouzbékistan,Asie,2020-04-20 23:36:47,1627,5,261,1361
Vietnam,Vietnam,Asie,2020-04-20 23:36:47,268,0,214,54
West Bank and Gaza,Palestine,Moyen-Orient,2020-04-20 23:36:47,449,3,71,375
Western Sahara,Sahara Occidental,Afrique,2020-04-20 23:36:47,6,0,0,6
Zambia,Zambie,Afrique,2020-04-20 23:36:47,65,3,35,27
Zimbabwe,Zimbabwe,Afrique,2020-04-20 23:36:47,25,3,2,20
Republic of Serbia,Serbie,,2020-04-20 23:36:47,6630,125,870,5635
Slovakia,Slovaquie,,2020-04-20 23:36:47,1173,13,251,909
Macedonia,Macédoine du Nord,,2020-04-20 23:36:47,1225,54,200,971
