French Name,Confirmed,Deaths,Recovered,Existing
Europe,484287,32635,77606,374046
Amérique du Nord,224147,4895,9833,201292
Asie,114999,4003,85151,25845
Moyen-Orient,59210,3163,16503,39544
Amérique du Sud,17126,451,1188,15487
Afrique,6370,234,505,5631
Océanie,5571,21,505,5045
Amérique Centrale,3188,115,52,3021
