French Name,Confirmed,Deaths,Recovered,Existing
Europe,998586,89548,261494,647544
Amérique du Nord,669958,29739,63187,577032
Asie,180039,5589,99952,74498
Moyen-Orient,108651,5142,56356,47153
Amérique du Sud,63412,2778,22381,38253
Afrique,17110,905,3425,12780
Océanie,7828,72,2914,4842
Amérique Centrale,9299,384,577,8338
