PROVINCE,Nom,Sum - CASES,Last Update
Antwerp,Anvers,3866,2020-04-13
Walloon Brabant,Brabant Wallon,763,2020-04-13
Brussels,Bruxelles,3247,2020-04-13
Hainaut,Hainaut,3117,2020-04-13
Liege,Liège,3421,2020-04-13
Limburg,Limbourg,3761,2020-04-13
Luxembourg,Luxembourg,870,2020-04-13
Namur,Namur,993,2020-04-13
East Flanders,Flandre orientale,3570,2020-04-13
Flemish Brabant,Brabant Flamand,3183,2020-04-13
West Flanders,Flandre Occidentale,3354,2020-04-13
