Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-16 23:30:51,77995,4869,52229,20897
Israel,Israël,Moyen-Orient,2020-04-16 23:30:51,12758,142,2818,9798
Italy,Italie,Europe,2020-04-16 23:30:51,168941,22170,40164,106607
Jamaica,Jamaïque,Amérique Centrale,2020-04-16 23:30:51,143,5,21,117
Japan,Japon,Asie,2020-04-16 23:30:51,8626,178,901,7547
Jordan,Jordanie,Moyen-Orient,2020-04-16 23:30:51,402,7,259,136
Kazakhstan,Kazakhstan,Asie,2020-04-16 23:30:51,1402,17,277,1108
Kenya,Kenya,Afrique,2020-04-16 23:30:51,234,11,53,170
Kosovo,Kosovo,Europe,2020-04-16 23:30:51,449,11,79,359
Kuwait,Koweit,Moyen-Orient,2020-04-16 23:30:51,1524,3,225,1296
Kyrgyz Republic,Kirghizistan,Asie,2020-04-16 23:30:51,466,5,91,370
Lao People's Democratic Republic,Laos,Asie,2020-04-16 23:30:51,19,0,2,17
Latvia,Lettonie,Europe,2020-04-16 23:30:51,675,5,57,613
Lebanon,Liban,Moyen-Orient,2020-04-16 23:30:51,663,21,86,556
Liberia,Liberia,Afrique,2020-04-16 23:30:51,59,6,4,49
Libya,Libye,Afrique,2020-04-16 23:30:51,49,1,11,37
Liechtenstein,Liechtenstein,Europe,2020-04-16 23:30:51,79,1,55,23
Lithuania,Lituanie,Europe,2020-04-16 23:30:51,1128,32,178,918
Luxembourg,Luxembourg,Europe,2020-04-16 23:30:51,3444,69,552,2823
Madagascar,Madagascar,Afrique,2020-04-16 23:30:51,111,0,33,78
Malawi,Malawi,Afrique,2020-04-16 23:30:51,16,2,0,14
Malaysia,Malaisie,Asie,2020-04-16 23:30:51,5182,84,2766,2332
Maldives,Maldives,Asie,2020-04-16 23:30:51,25,0,16,9
Mali,Mali,Afrique,2020-04-16 23:30:51,171,13,34,124
Malta,Malte,Europe,2020-04-16 23:30:51,412,3,82,327
Mauritania,Mauritanie,Afrique,2020-04-16 23:30:51,7,1,2,4
Mauritius,Maurice,Afrique,2020-04-16 23:30:51,324,9,81,234
Mexico,Mexique,Amérique du Nord,2020-04-16 23:30:51,5847,449,2125,3273
Moldova,Moldavie,Asie,2020-04-16 23:30:51,2154,54,235,1865
Monaco,Monaco,Europe,2020-04-16 23:30:51,93,3,12,78
Mongolia,Mongolie,Asie,2020-04-16 23:30:51,31,0,5,26
Montenegro,Montenegro,Europe,2020-04-16 23:30:51,303,4,55,244
Morocco,Maroc,Afrique,2020-04-16 23:30:51,2283,130,249,1904
Mozambique,Mozambique,Afrique,2020-04-16 23:30:51,31,0,2,29
MS Zaandam,MS Zaandam,,2020-04-16 23:30:51,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-16 23:30:51,85,4,2,79
Namibia,Namibie,Afrique,2020-04-16 23:30:51,16,0,4,12
Nepal,Népal,Asie,2020-04-16 23:30:51,16,0,2,14
Netherlands,Pays-Bas,Europe,2020-04-16 23:30:51,29383,3327,311,25745
New Zealand,Nouvelle-Zélande,Océanie,2020-04-16 23:30:51,1401,9,770,622
Nicaragua,Nicaragua,Amérique Centrale,2020-04-16 23:30:51,9,1,4,4
Niger,Niger,Afrique,2020-04-16 23:30:51,584,14,90,480
Nigeria,Nigeria,Afrique,2020-04-16 23:30:51,442,13,152,277
North Macedonia,Macédoine du Nord,Europe,2020-04-16 23:30:51,1081,46,121,914
Norway,Norvège,Europe,2020-04-16 23:30:51,6896,152,32,6712
Oman,Oman,Moyen-Orient,2020-04-16 23:30:51,1019,4,176,839
Pakistan,Pakistan,Asie,2020-04-16 23:30:51,6919,128,1645,5146
Panama,Panama,Amérique Centrale,2020-04-16 23:30:51,3751,103,75,3573
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-16 23:30:51,7,0,0,7
Paraguay,Paraguay,Amérique du Sud,2020-04-16 23:30:51,174,8,30,136
Peru,Pérou,Amérique du Sud,2020-04-16 23:30:51,12491,274,6120,6097
Philippines,Philippines,Asie,2020-04-16 23:30:51,5660,362,435,4863
Poland,Pologne,Europe,2020-04-16 23:30:51,7918,314,774,6830
