French Name,Confirmed,Deaths,Recovered,Existing
Europe,635051,46663,114829,473559
Amérique du Nord,323516,8685,17862,296969
Asie,123696,4236,87545,31915
Moyen-Orient,71313,3622,21381,46310
Reste du monde,38930,1238,3841,33851
