French Name,Confirmed,Deaths,Recovered,Existing
Europe,1434817,146110,589730,698977
Amérique du Nord,1293591,77761,233607,1011253
Asie,422629,11359,155751,255519
Moyen-Orient,191092,7132,106518,77442
Amérique du Sud,238296,12008,82659,143629
Reste du monde,78518,2835,27960,47723
