French Name,Confirmed,Deaths,Recovered,Existing
Europe,1043207,93644,279843,669720
Amérique du Nord,704457,34623,66526,603308
Asie,188028,5790,101869,80369
Moyen-Orient,112137,5253,59154,47730
Amérique du Sud,67780,3031,25993,38756
Reste du monde,26148,1032,7373,17743
