Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-12 23:18:00,607,18,32,557
Albania,Albanie,Europe,2020-04-12 23:18:00,446,23,217,206
Algeria,Algérie,Afrique,2020-04-12 23:18:00,1914,293,591,1030
Andorra,Andorre,Europe,2020-04-12 23:18:00,638,29,128,481
Angola,Angola,Afrique,2020-04-12 23:18:00,19,2,4,13
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-12 23:18:00,21,2,0,19
Arab Republic of Egypt,Égypte,Afrique,2020-04-12 23:18:00,2065,159,589,1317
Argentina,Argentine,Amérique du Sud,2020-04-12 23:18:00,2142,90,468,1584
Armenia,Arménie,Asie,2020-04-12 23:18:00,1013,13,197,803
Australia,Australie,Océanie,2020-04-12 23:18:00,6315,60,1806,4449
Austria,Autriche,Europe,2020-04-12 23:18:00,13945,350,6987,6608
Azerbaijan,Azebaïdjan,Asie,2020-04-12 23:18:00,1098,11,250,837
Bahrain,Bahrein,Asie,2020-04-12 23:18:00,1136,6,558,572
Bangladesh,Bangladesh,Asie,2020-04-12 23:18:00,621,34,39,548
Barbados,Barbados,Amérique Centrale,2020-04-12 23:18:00,71,4,11,56
Belarus,Biélorusse,Europe,2020-04-12 23:18:00,2578,26,203,2349
Belgium,Belgique,Europe,2020-04-12 23:18:00,29647,3600,6463,19584
Belize,Belize,Amérique Centrale,2020-04-12 23:18:00,14,2,0,12
Benin,Bénin,Afrique,2020-04-12 23:18:00,35,1,5,29
Bhutan,Bhoutan,Asie,2020-04-12 23:18:00,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-12 23:18:00,300,24,2,274
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-12 23:18:00,1009,39,193,777
Botswana,Botswana,Afrique,2020-04-12 23:18:00,13,1,0,12
Brazil,Brésil,Amérique du Sud,2020-04-12 23:18:00,22192,1223,173,20796
Brunei Darussalam,Brunei,Asie,2020-04-12 23:18:00,136,1,106,29
Bulgaria,Bulgarie,Europe,2020-04-12 23:18:00,675,29,68,578
Burkina Faso,Burkina Faso,Afrique,2020-04-12 23:18:00,497,27,161,309
Burundi,Burundi,Afrique,2020-04-12 23:18:00,5,0,0,5
Cambodia,Cambodge,Asie,2020-04-12 23:18:00,122,0,77,45
Cameroon,Cameroun,Afrique,2020-04-12 23:18:00,820,12,98,710
Canada,Canada,Amérique du Nord,2020-04-12 23:18:00,24299,713,7123,16463
Cape Verde,Cap Vert,Afrique,2020-04-12 23:18:00,8,1,1,6
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-12 23:18:00,8,0,0,8
Chad,Tchad,Afrique,2020-04-12 23:18:00,18,0,2,16
Chile,Chili,Amérique du Sud,2020-04-12 23:18:00,7213,80,2059,5074
China,Chine,Asie,2020-04-12 23:18:00,83134,3343,77956,1835
Colombia,Colombie,Amérique du Sud,2020-04-12 23:18:00,2776,109,270,2397
Congo,Congo,Afrique,2020-04-12 23:18:00,60,5,5,50
Costa Rica,Costa Rica,Amérique du Sud,2020-04-12 23:18:00,595,3,56,536
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-12 23:18:00,574,5,85,484
Croatia,Croatie,Europe,2020-04-12 23:18:00,1600,23,373,1204
Cuba,Cuba,Amérique Centrale,2020-04-12 23:18:00,669,18,92,559
Cyprus,Chypre,Europe,2020-04-12 23:18:00,633,11,65,557
Czech Republic,République Tchèque,Europe,2020-04-12 23:18:00,5991,138,464,5389
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-12 23:18:00,234,20,16,198
Denmark,Danemark,Europe,2020-04-12 23:18:00,6369,273,2291,3805
Diamond Princess,Diamond Princess,,2020-04-12 23:18:00,712,11,619,82
Djibouti,Djibouti,Afrique,2020-04-12 23:18:00,214,2,36,176
Dominica,Dominique,Amérique Centrale,2020-04-12 23:18:00,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-12 23:18:00,2967,173,131,2663
Ecuador,Équateur,Amérique du Sud,2020-04-12 23:18:00,7466,333,501,6632
El Salvador,El Salvador,Amérique Centrale,2020-04-12 23:18:00,125,6,21,98
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-12 23:18:00,21,0,3,18
Eritrea,Erythrée,Afrique,2020-04-12 23:18:00,34,0,0,34
