French Name,Confirmed,Deaths,Recovered,Existing
Europe,1204652,113025,372576,719051
Amérique du Nord,890826,49517,94447,746862
Asie,247401,8139,112297,126965
Moyen-Orient,135298,5892,74636,54770
Amérique du Sud,97064,4573,41482,51009
Afrique,25798,1233,6910,17655
Océanie,8006,81,5160,2765
Amérique Centrale,13067,541,1434,11092
