Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-28 02:30:51,1703,57,220,1426
Albania,Albanie,Europe,2020-04-28 02:30:51,736,28,422,286
Algeria,Algérie,Afrique,2020-04-28 02:30:51,3517,432,1558,1527
Andorra,Andorre,Europe,2020-04-28 02:30:51,743,40,385,318
Angola,Angola,Afrique,2020-04-28 02:30:51,27,2,6,19
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-28 02:30:51,24,3,11,10
Arab Republic of Egypt,Égypte,Afrique,2020-04-28 02:30:51,4782,337,1236,3209
Argentina,Argentine,Amérique du Sud,2020-04-28 02:30:51,4003,197,1140,2666
Armenia,Arménie,Asie,2020-04-28 02:30:51,1808,29,848,931
Australia,Australie,Océanie,2020-04-28 02:30:51,6721,83,5588,1050
Austria,Autriche,Europe,2020-04-28 02:30:51,15274,549,12362,2363
Azerbaijan,Azebaïdjan,Asie,2020-04-28 02:30:51,1678,22,1162,494
Bahrain,Bahrein,Asie,2020-04-28 02:30:51,2723,8,1218,1497
Bangladesh,Bangladesh,Asie,2020-04-28 02:30:51,5913,152,131,5630
Barbados,Barbados,Amérique Centrale,2020-04-28 02:30:51,80,6,39,35
Belarus,Biélorusse,Europe,2020-04-28 02:30:51,11289,75,1740,9474
Belgium,Belgique,Europe,2020-04-27 00:00:00,46687,7207,10878,28602
Belize,Belize,Amérique Centrale,2020-04-28 02:30:51,18,2,6,10
Benin,Bénin,Afrique,2020-04-28 02:30:51,64,1,33,30
Bhutan,Bhoutan,Asie,2020-04-28 02:30:51,7,0,4,3
Bolivia,Bolivie,Amérique du Sud,2020-04-28 02:30:51,1014,53,98,863
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-28 02:30:51,1565,60,659,846
Botswana,Botswana,Afrique,2020-04-28 02:30:51,22,1,0,21
Brazil,Brésil,Amérique du Sud,2020-04-28 02:30:51,67446,4603,31142,31701
Brunei Darussalam,Brunei,Asie,2020-04-28 02:30:51,138,1,124,13
Bulgaria,Bulgarie,Europe,2020-04-26 00:00:00,1363,58,206,1099
Burkina Faso,Burkina Faso,Afrique,2020-04-28 02:30:51,635,42,469,124
Burundi,Burundi,Afrique,2020-04-28 02:30:51,11,1,4,6
Cambodia,Cambodge,Asie,2020-04-28 02:30:51,122,0,119,3
Cameroon,Cameroun,Afrique,2020-04-28 02:30:51,1705,58,805,842
Canada,Canada,Amérique du Nord,2020-04-28 02:30:51,49616,2841,18268,28507
Cape Verde,Cap Vert,Afrique,2020-04-28 02:30:51,109,1,1,107
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-28 02:30:51,19,0,10,9
Chad,Tchad,Afrique,2020-04-28 02:30:51,46,0,15,31
Chile,Chili,Amérique du Sud,2020-04-28 02:30:51,13813,198,7327,6288
China,Chine,Asie,2020-04-28 02:31:06,83918,4637,78374,907
Colombia,Colombie,Amérique du Sud,2020-04-26 00:00:00,5597,253,1210,4134
Congo,Congo,Afrique,2020-04-28 02:30:51,200,6,19,175
Costa Rica,Costa Rica,Amérique du Sud,2020-04-28 02:30:51,697,6,287,404
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-28 02:30:51,1164,14,499,651
Croatia,Croatie,Europe,2020-04-28 02:30:51,2039,59,1166,814
Cuba,Cuba,Amérique Centrale,2020-04-28 02:30:51,1389,56,525,808
Cyprus,Chypre,Europe,2020-04-28 02:30:51,822,15,148,659
Czech Republic,République Tchèque,Europe,2020-04-28 02:30:51,7445,223,2826,4396
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-28 02:30:51,459,28,50,381
Denmark,Danemark,Europe,2020-04-28 02:30:51,8896,427,6148,2321
Diamond Princess,Diamond Princess,,2020-04-28 02:30:51,712,13,645,54
Djibouti,Djibouti,Afrique,2020-04-28 02:30:51,1035,2,477,556
Dominica,Dominique,Amérique Centrale,2020-04-28 02:30:51,16,0,13,3
