French Name,Confirmed,Deaths,Recovered,Existing
Europe,1099148,100784,306264,692100
Amérique du Nord,773428,40610,77929,654889
Asie,206529,7411,104691,94427
Moyen-Orient,119285,5456,64252,49577
Amérique du Sud,78185,3634,27657,46894
Afrique,20979,1053,4944,14982
Océanie,7976,78,4991,2907
Amérique Centrale,11002,462,843,9697
