Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-19 23:41:01,996,33,131,832
Albania,Albanie,Europe,2020-04-19 23:41:01,562,26,314,222
Algeria,Algérie,Afrique,2020-04-19 23:41:01,2629,375,1047,1207
Andorra,Andorre,Europe,2020-04-19 23:41:01,713,36,235,442
Angola,Angola,Afrique,2020-04-19 23:41:01,24,2,6,16
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-19 23:41:01,23,3,3,17
Arab Republic of Egypt,Égypte,Afrique,2020-04-19 23:41:01,3144,239,732,2173
Argentina,Argentine,Amérique du Sud,2020-04-19 23:41:01,2839,132,709,1998
Armenia,Arménie,Asie,2020-04-19 23:41:01,1291,20,545,726
Australia,Australie,Océanie,2020-04-19 23:41:01,6547,67,4124,2356
Austria,Autriche,Europe,2020-04-19 23:41:01,14749,452,10501,3796
Azerbaijan,Azebaïdjan,Asie,2020-04-19 23:41:01,1398,19,712,667
Bahrain,Bahrein,Asie,2020-04-19 23:41:01,1881,7,759,1115
Bangladesh,Bangladesh,Asie,2020-04-19 23:41:01,2456,91,75,2290
Barbados,Barbados,Amérique Centrale,2020-04-19 23:41:01,75,5,17,53
Belarus,Biélorusse,Europe,2020-04-19 23:41:01,4779,47,494,4238
Belgium,Belgique,Europe,2020-04-19 23:41:01,38496,5683,8757,24056
Belize,Belize,Amérique Centrale,2020-04-19 23:41:01,18,2,2,14
Benin,Bénin,Afrique,2020-04-19 23:41:01,35,1,18,16
Bhutan,Bhoutan,Asie,2020-04-19 23:41:01,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-19 23:41:01,520,32,31,457
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-19 23:41:01,1285,48,347,890
Botswana,Botswana,Afrique,2020-04-19 23:41:01,20,1,0,19
Brazil,Brésil,Amérique du Sud,2020-04-19 23:41:01,38654,2462,22130,14062
Brunei Darussalam,Brunei,Asie,2020-04-19 23:41:01,138,1,115,22
Bulgaria,Bulgarie,Europe,2020-04-19 23:41:01,894,42,161,691
Burkina Faso,Burkina Faso,Afrique,2020-04-19 23:41:01,576,36,338,202
Burundi,Burundi,Afrique,2020-04-19 23:41:01,5,1,0,4
Cambodia,Cambodge,Asie,2020-04-19 23:41:01,122,0,105,17
Cameroon,Cameroun,Afrique,2020-04-19 23:41:01,1017,42,305,670
Canada,Canada,Amérique du Nord,2020-04-19 23:41:01,35633,1564,11847,22222
Cape Verde,Cap Vert,Afrique,2020-04-19 23:41:01,61,1,1,59
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-19 23:41:01,12,0,4,8
Chad,Tchad,Afrique,2020-04-19 23:41:01,33,0,8,25
Chile,Chili,Amérique du Sud,2020-04-19 23:41:01,10088,133,4338,5617
China,Chine,Asie,2020-04-19 23:41:01,83805,4636,77690,1479
Colombia,Colombie,Amérique du Sud,2020-04-19 23:41:01,3792,179,711,2902
Congo,Congo,Afrique,2020-04-19 23:41:01,143,6,11,126
Costa Rica,Costa Rica,Amérique du Sud,2020-04-19 23:41:01,660,5,112,543
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-19 23:41:01,847,9,260,578
Croatia,Croatie,Europe,2020-04-19 23:41:01,1871,47,709,1115
Cuba,Cuba,Amérique Centrale,2020-04-19 23:41:01,1035,34,255,746
Cyprus,Chypre,Europe,2020-04-19 23:41:01,767,12,81,674
Czech Republic,République Tchèque,Europe,2020-04-19 23:41:01,6746,186,1298,5262
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-19 23:41:01,327,25,26,276
Denmark,Danemark,Europe,2020-04-19 23:41:01,7580,355,4328,2897
Diamond Princess,Diamond Princess,,2020-04-19 23:41:01,712,13,644,55
Djibouti,Djibouti,Afrique,2020-04-19 23:41:01,846,2,102,742
Dominica,Dominique,Amérique Centrale,2020-04-19 23:41:01,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-19 23:41:01,4680,226,363,4091
Ecuador,Équateur,Amérique du Sud,2020-04-19 23:41:01,9468,474,1061,7933
El Salvador,El Salvador,Amérique Centrale,2020-04-19 23:41:01,201,7,44,150
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-19 23:41:01,79,0,4,75
Eritrea,Erythrée,Afrique,2020-04-19 23:41:01,39,0,3,36
Estonia,Estonie,Europe,2020-04-19 23:41:01,1528,40,164,1324
Eswatini,Eswatini,Afrique,2020-04-19 23:41:01,22,1,8,13
Ethiopia,Ethiopie,Afrique,2020-04-19 23:41:01,108,3,16,89
Fiji,Iles Fidji,Amérique Centrale,2020-04-19 23:41:01,17,0,0,17
Finland,Finlande,Europe,2020-04-19 23:41:01,3783,94,1700,1989
France,France,Europe,2020-04-19 23:41:01,154097,19744,37183,97170
Gabon,Gabon,Afrique,2020-04-19 23:41:01,109,1,7,101
Georgia,Géorgie,Asie,2020-04-19 23:41:01,394,4,93,297
Germany,Allemagne,Europe,2020-04-19 23:41:01,145184,4586,88000,52598
Ghana,Ghana,Afrique,2020-04-19 23:41:01,1042,9,99,934
Greece,Grèce,Europe,2020-04-19 23:41:01,2235,113,269,1853
Grenada,Grenade,Amérique Centrale,2020-04-19 23:41:01,14,0,6,8
Guatemala,Guatemala,Amérique Centrale,2020-04-19 23:41:01,257,7,21,229
Guinea,Guinée,Afrique,2020-04-19 23:41:01,579,5,87,487
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-19 23:41:01,50,0,3,47
Guyana,Guyane,Amérique du Sud,2020-04-19 23:41:01,65,7,9,49
Haiti,Haïti,Amérique Centrale,2020-04-19 23:41:01,47,3,0,44
Holy See,Iles Anglo-Normandes,Europe,2020-04-19 23:41:01,8,0,2,6
Honduras,Honduras,Amérique Centrale,2020-04-19 23:41:01,472,46,15,411
Hungary,Hongrie,Europe,2020-04-19 23:41:01,1916,189,250,1477
Iceland,Islande,Europe,2020-04-19 23:41:01,1771,9,1291,471
India,Inde,Asie,2020-04-19 23:41:01,17615,559,2854,14202
Indonesia,Indonésie,Asie,2020-04-19 23:41:01,6575,582,686,5307
Iraq,Irak,Moyen-Orient,2020-04-19 23:41:01,1539,82,1009,448
Ireland,Irlande,Europe,2020-04-19 23:41:01,15251,610,77,14564
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-19 23:41:01,82211,5118,57023,20070
Israel,Israël,Moyen-Orient,2020-04-19 23:41:01,13491,172,3754,9565
Italy,Italie,Europe,2020-04-19 23:41:01,178972,23660,47055,108257
Jamaica,Jamaïque,Amérique Centrale,2020-04-19 23:41:01,173,5,27,141
Japan,Japon,Asie,2020-04-19 23:41:01,10797,236,1159,9402
Jordan,Jordanie,Moyen-Orient,2020-04-19 23:41:01,417,7,276,134
Kazakhstan,Kazakhstan,Asie,2020-04-19 23:41:01,1676,17,400,1259
Kenya,Kenya,Afrique,2020-04-19 23:41:01,270,14,67,189
Kosovo,Kosovo,Europe,2020-04-19 23:41:01,510,12,93,405
Kuwait,Koweit,Moyen-Orient,2020-04-19 23:41:01,1915,7,305,1603
Kyrgyz Republic,Kirghizistan,Asie,2020-04-19 23:41:01,554,5,133,416
Lao People's Democratic Republic,Laos,Asie,2020-04-19 23:41:01,19,0,2,17
Latvia,Lettonie,Europe,2020-04-19 23:41:01,727,5,88,634
Lebanon,Liban,Moyen-Orient,2020-04-19 23:41:01,673,21,102,550
Liberia,Liberia,Afrique,2020-04-19 23:41:01,91,8,7,76
Libya,Libye,Afrique,2020-04-19 23:41:01,51,1,11,39
Liechtenstein,Liechtenstein,Europe,2020-04-19 23:41:01,81,1,55,25
Lithuania,Lituanie,Europe,2020-04-19 23:41:01,1298,35,242,1021
Luxembourg,Luxembourg,Europe,2020-04-19 23:41:01,3550,73,627,2850
Madagascar,Madagascar,Afrique,2020-04-19 23:41:01,121,0,39,82
