French Name,Confirmed,Deaths,Recovered,Existing
Europe,775286,62032,169808,543446
Amérique du Nord,450978,15243,28346,407389
Asie,138522,4571,90945,43006
Moyen-Orient,85483,4225,32556,48702
Reste du monde,54343,2014,6228,46101
