French Name,Confirmed,Deaths,Recovered,Existing
Europe,668318,49764,124066,494488
Amérique du Nord,354718,9957,21093,323668
Asie,126544,4296,88354,33894
Moyen-Orient,75404,3790,21598,50016
Reste du monde,41743,1372,4193,36178
