Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-03-31 23:43:43,174,4,5,165
Albania,Albanie,Europe,2020-03-31 23:43:43,243,15,52,176
Algeria,Algérie,Afrique,2020-03-31 23:43:43,716,44,46,626
Andorra,Andorre,Europe,2020-03-31 23:43:43,376,12,10,354
Angola,Angola,Afrique,2020-03-31 23:43:43,7,2,1,4
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-31 23:43:43,7,0,0,7
Arab Republic of Egypt,Égypte,Afrique,2020-03-31 23:43:43,710,46,157,507
Argentina,Argentine,Amérique du Sud,2020-03-31 23:43:43,1054,27,240,787
Armenia,Arménie,Asie,2020-03-31 23:43:43,532,3,30,499
Austria,Autriche,Europe,2020-03-31 23:43:43,10180,128,1095,8957
Azerbaijan,Azebaïdjan,Asie,2020-03-31 23:43:43,298,5,26,267
Bahrain,Bahrein,Asie,2020-03-31 23:43:43,567,4,295,268
Bangladesh,Bangladesh,Asie,2020-03-31 23:43:43,51,5,25,21
Barbados,Barbados,Amérique Centrale,2020-03-31 23:43:43,34,0,0,34
Belarus,Biélorusse,Europe,2020-03-31 23:43:43,152,1,47,104
Belgium,Belgique,Europe,2020-03-31 23:43:43,12775,705,1696,10374
Belize,Belize,Amérique Centrale,2020-03-31 23:43:43,3,0,0,3
Benin,Bénin,Afrique,2020-03-31 23:43:43,9,0,1,8
Bhutan,Bhoutan,Asie,2020-03-31 23:43:43,4,0,0,4
Bolivia,Bolivie,Amérique du Sud,2020-03-31 23:43:43,107,6,0,101
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-31 23:43:43,420,13,17,390
Botswana,Botswana,Afrique,2020-03-31 23:43:43,4,1,0,3
Brazil,Brésil,Amérique du Sud,2020-03-31 23:43:43,5717,201,127,5389
Brunei Darussalam,Brunei,Asie,2020-03-31 23:43:43,129,1,45,83
Bulgaria,Bulgarie,Europe,2020-03-31 23:43:43,399,8,17,374
Burkina Faso,Burkina Faso,Afrique,2020-03-31 23:43:43,261,14,32,215
Burundi,Burundi,Afrique,2020-03-31 23:43:44,2,0,0,2
C-Australia,,Océanie,2020-03-31 23:43:43,80,1,3,76
C-Australia,,Océanie,2020-03-31 23:49:27,2032,8,4,2020
C-Australia,,Océanie,2020-03-31 23:49:27,17,0,0,17
C-Australia,,Océanie,2020-03-31 23:49:27,743,2,8,733
C-Australia,,Océanie,2020-03-31 23:49:27,337,0,6,331
C-Australia,,Océanie,2020-03-31 23:49:27,69,1,5,63
C-Australia,,Océanie,2020-03-31 23:49:27,917,4,291,622
C-Australia,,Océanie,2020-03-31 23:49:27,364,2,41,321
C-Canada,,Amérique du Nord,2020-03-31 23:49:27,690,8,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,1013,24,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,0,1,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,13,0,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,103,1,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,70,0,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,152,1,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,1,0,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,147,0,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,1966,33,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,21,0,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,4162,31,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,0,0,1592,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,184,2,0,0
C-Canada,,Amérique du Nord,2020-03-31 23:49:13,5,0,0,0
C-China,,Asie,2020-03-31 23:49:13,990,6,984,0
C-China,,Asie,2020-03-08 05:19:01,580,8,418,154
C-China,,Asie,2020-03-31 05:46:54,579,6,570,3
C-China,,Asie,2020-03-29 00:14:12,343,1,295,47
C-China,,Asie,2020-03-31 02:10:31,138,2,125,11
C-China,,Asie,2020-03-29 14:25:46,1494,8,1356,130
C-China,,Asie,2020-03-31 09:56:36,254,2,250,2
C-China,,Asie,2020-03-20 04:33:45,146,2,144,0
C-China,,Asie,2020-03-18 01:37:43,168,6,168,-6
C-China,,Asie,2020-03-24 04:29:15,321,6,310,5
C-China,,Asie,2020-03-30 02:07:50,484,13,469,2
C-China,,Asie,2020-03-26 00:15:39,1276,22,1251,3
C-China,,Asie,2020-03-29 01:44:01,714,4,128,582
C-China,,Asie,2020-03-31 09:10:05,67801,3187,63153,1461
C-China,,Asie,2020-03-31 01:06:37,1018,4,1014,0
C-China,,Asie,2020-03-14 08:25:05,107,1,74,32
C-China,,Asie,2020-03-30 23:54:43,646,0,631,15
C-China,,Asie,2020-03-31 01:10:41,937,1,935,1
C-China,,Asie,2020-03-30 03:15:15,98,1,92,5
C-China,,Asie,2020-03-29 00:28:20,139,2,124,13
C-China,,Asie,2020-03-31 00:23:00,41,0,10,31
C-China,,Asie,2020-03-31 13:54:04,75,0,75,0
C-China,,Asie,2020-03-16 08:47:05,18,0,18,0
C-China,,Asie,2020-02-23 11:19:02,253,3,242,8
C-China,,Asie,2020-03-26 02:14:25,774,7,753,14
C-China,,Asie,2020-03-31 00:44:17,509,5,341,163
C-China,,Asie,2020-03-31 07:43:11,136,0,133,3
C-China,,Asie,2020-03-29 00:20:15,550,3,536,11
C-China,,Asie,2020-03-30 01:09:15,174,3,135,36
C-China,,Asie,2020-03-31 13:54:04,1,0,1,0
C-China,,Asie,2020-02-23 11:19:02,76,3,73,0
C-China,,Asie,2020-03-08 05:31:02,182,2,172,8
C-China,,Asie,2020-03-31 23:31:54,1257,1,1226,30
C-Denmark,,Europe,2020-03-31 01:23:49,169,0,74,95
C-Denmark,,Europe,2020-03-31 23:43:43,10,0,2,8
C-Denmark,,Europe,2020-03-31 23:43:43,2860,90,1,2769
C-France,,Europe,2020-03-31 23:43:43,43,0,6,37
C-France,,Europe,2020-03-31 23:43:43,36,0,0,36
C-France,,Europe,2020-03-31 23:43:43,114,4,22,88
C-France,,Europe,2020-03-31 23:43:43,128,3,27,98
C-France,,Europe,2020-03-31 23:43:43,94,1,10,83
C-France,,Europe,2020-03-31 23:43:43,16,0,0,16
C-France,,Europe,2020-03-31 23:43:43,247,0,1,246
C-France,,Europe,2020-03-31 23:43:43,6,0,1,5
C-France,,Europe,2020-03-31 23:43:43,15,1,2,12
C-France,,Europe,2020-03-31 23:43:43,52128,3523,9444,39161
C-Netherlands,,Europe,2020-03-31 23:43:43,55,0,1,54
C-Netherlands,,Europe,2020-03-31 23:43:43,11,1,2,8
C-Netherlands,,Europe,2020-03-31 23:43:43,6,0,0,6
C-Netherlands,,Europe,2020-03-31 23:43:43,12595,1039,250,11306
C-United Kingdom,,Europe,2020-03-31 23:43:43,2,0,0,2
C-United Kingdom,,Europe,2020-03-31 23:43:43,32,0,10,22
C-United Kingdom,,Europe,2020-03-31 23:43:43,3,0,0,3
C-United Kingdom,,Europe,2020-03-31 23:43:43,14,1,0,13
C-United Kingdom,,Europe,2020-03-31 23:43:43,141,3,0,138
C-United Kingdom,,Europe,2020-03-31 23:43:43,69,0,34,35
C-United Kingdom,,Europe,2020-03-31 23:43:43,60,0,0,60
C-United Kingdom,,Europe,2020-03-31 23:43:43,5,0,0,5
C-United Kingdom,,Europe,2020-03-31 23:43:43,5,0,0,5
C-United Kingdom,,Europe,2020-03-31 23:43:43,25150,1789,135,23226
Cambodia,Cambodge,Asie,2020-03-31 23:43:43,109,0,23,86
Cameroon,Cameroun,Afrique,2020-03-31 23:43:43,193,6,5,182
Cape Verde,Cap Vert,Afrique,2020-03-31 23:43:43,6,1,0,5
Central African Republic,République d’Afrique Centrale,Afrique,2020-03-31 23:43:43,3,0,0,3
Chad,Tchad,Afrique,2020-03-31 23:43:43,7,0,0,7
Chile,Chili,Amérique du Sud,2020-03-31 23:43:43,2738,12,156,2570
Colombia,Colombie,Amérique du Sud,2020-03-31 23:43:43,906,16,31,859
Congo,Congo,Afrique,2020-03-31 23:43:43,19,0,0,19
Costa Rica,Costa Rica,Amérique du Sud,2020-03-31 23:43:43,347,2,4,341
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-03-31 23:43:43,179,1,7,171
Croatia,Croatie,Europe,2020-03-31 23:43:43,867,6,67,794
Cuba,Cuba,Amérique Centrale,2020-03-31 23:43:43,186,6,8,172
Cyprus,Chypre,Europe,2020-03-31 23:43:43,262,8,23,231
Czech Republic,République Tchèque,Europe,2020-03-31 23:43:43,3308,31,45,3232
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-03-31 23:43:43,98,8,2,88
