Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-13 23:07:54,665,21,32,612
Albania,Albanie,Europe,2020-04-13 23:07:54,467,23,232,212
Algeria,Algérie,Afrique,2020-04-13 23:07:54,1983,313,601,1069
Andorra,Andorre,Europe,2020-04-13 23:07:54,646,29,128,489
Angola,Angola,Afrique,2020-04-13 23:07:54,19,2,4,13
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-13 23:07:54,23,2,0,21
Arab Republic of Egypt,Égypte,Afrique,2020-04-13 23:07:54,2190,164,589,1437
Argentina,Argentine,Amérique du Sud,2020-04-13 23:07:54,2208,97,515,1596
Armenia,Arménie,Asie,2020-04-13 23:07:54,1039,14,211,814
Australia,Australie,Océanie,2020-04-13 23:07:54,6351,61,1806,4484
Austria,Autriche,Europe,2020-04-13 23:07:54,14041,368,7343,6330
Azerbaijan,Azebaïdjan,Asie,2020-04-13 23:07:54,1148,12,289,847
Bahrain,Bahrein,Asie,2020-04-13 23:07:54,1361,6,591,764
Bangladesh,Bangladesh,Asie,2020-04-13 23:07:54,803,39,42,722
Barbados,Barbados,Amérique Centrale,2020-04-13 23:07:54,72,4,13,55
Belarus,Biélorusse,Europe,2020-04-13 23:07:54,2919,29,203,2687
Belgium,Belgique,Europe,2020-04-13 23:07:54,30589,3903,6707,19979
Belize,Belize,Amérique Centrale,2020-04-13 23:07:54,18,2,0,16
Benin,Bénin,Afrique,2020-04-13 23:07:54,35,1,5,29
Bhutan,Bhoutan,Asie,2020-04-13 23:07:54,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-13 23:07:54,330,27,2,301
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-13 23:07:54,1037,39,206,792
Botswana,Botswana,Afrique,2020-04-13 23:07:54,13,1,0,12
Brazil,Brésil,Amérique du Sud,2020-04-13 23:07:54,23430,1328,173,21929
Brunei Darussalam,Brunei,Asie,2020-04-13 23:07:54,136,1,107,28
Bulgaria,Bulgarie,Europe,2020-04-13 23:07:54,685,32,71,582
Burkina Faso,Burkina Faso,Afrique,2020-04-13 23:07:54,497,27,161,309
Burundi,Burundi,Afrique,2020-04-13 23:07:54,5,1,0,4
Cambodia,Cambodge,Asie,2020-04-13 23:07:54,122,0,77,45
Cameroon,Cameroun,Afrique,2020-04-13 23:07:54,820,12,98,710
Canada,Canada,Amérique du Nord,2020-04-13 23:07:54,25680,780,7758,17142
Cape Verde,Cap Vert,Afrique,2020-04-13 23:07:54,10,1,1,8
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-13 23:07:54,11,0,3,8
Chad,Tchad,Afrique,2020-04-13 23:07:54,23,0,2,21
Chile,Chili,Amérique du Sud,2020-04-13 23:07:54,7525,82,2367,5076
China,Chine,Asie,2020-04-13 23:07:54,83213,3345,78039,1829
Colombia,Colombie,Amérique du Sud,2020-04-13 23:07:54,2852,112,319,2421
Congo,Congo,Afrique,2020-04-13 23:07:54,60,5,5,50
Costa Rica,Costa Rica,Amérique du Sud,2020-04-13 23:07:54,612,3,62,547
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-13 23:07:54,626,6,89,531
Croatia,Croatie,Europe,2020-04-13 23:07:54,1650,25,400,1225
Cuba,Cuba,Amérique Centrale,2020-04-13 23:07:54,726,21,121,584
Cyprus,Chypre,Europe,2020-04-13 23:07:54,662,12,65,585
Czech Republic,République Tchèque,Europe,2020-04-13 23:07:54,6059,143,519,5397
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-13 23:07:54,235,20,17,198
Denmark,Danemark,Europe,2020-04-13 23:07:54,6513,285,2403,3825
Diamond Princess,Diamond Princess,,2020-04-13 23:07:54,712,11,619,82
Djibouti,Djibouti,Afrique,2020-04-13 23:07:54,298,2,41,255
Dominica,Dominique,Amérique Centrale,2020-04-13 23:07:54,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-13 23:07:54,3167,177,152,2838
Ecuador,Équateur,Amérique du Sud,2020-04-13 23:07:54,7529,355,597,6577
El Salvador,El Salvador,Amérique Centrale,2020-04-13 23:07:54,137,6,22,109
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-13 23:07:54,21,0,4,17
Eritrea,Erythrée,Afrique,2020-04-13 23:07:54,34,0,0,34
Estonia,Estonie,Europe,2020-04-13 23:07:54,1332,28,102,1202
Eswatini,Eswatini,Afrique,2020-04-13 23:07:54,15,0,7,8
Ethiopia,Ethiopie,Afrique,2020-04-13 23:07:54,74,3,14,57
Fiji,Iles Fidji,Amérique Centrale,2020-04-13 23:07:54,16,0,0,16
Finland,Finlande,Europe,2020-04-13 23:07:54,3064,59,300,2705
France,France,Europe,2020-04-13 23:07:54,137875,14986,28001,94888
Gabon,Gabon,Afrique,2020-04-13 23:07:54,57,1,1,55
Georgia,Géorgie,Asie,2020-04-13 23:07:54,272,3,68,201
Germany,Allemagne,Europe,2020-04-13 23:07:54,130072,3194,64300,62578
Ghana,Ghana,Afrique,2020-04-13 23:07:54,566,8,4,554
Greece,Grèce,Europe,2020-04-13 23:07:54,2145,99,269,1777
Grenada,Grenade,Amérique Centrale,2020-04-13 23:07:54,14,0,0,14
Guatemala,Guatemala,Amérique Centrale,2020-04-13 23:07:54,156,5,19,132
Guinea,Guinée,Afrique,2020-04-13 23:07:54,319,0,17,302
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-13 23:07:54,38,0,0,38
Guyana,Guyane,Amérique du Sud,2020-04-13 23:07:54,45,6,8,31
Haiti,Haïti,Amérique Centrale,2020-04-13 23:07:54,40,3,0,37
Holy See,Iles Anglo-Normandes,Europe,2020-04-13 23:07:54,8,0,2,6
Honduras,Honduras,Amérique Centrale,2020-04-13 23:07:54,397,25,7,365
Hungary,Hongrie,Europe,2020-04-13 23:07:54,1458,109,120,1229
Iceland,Islande,Europe,2020-04-13 23:07:54,1711,8,933,770
India,Inde,Asie,2020-04-13 23:07:54,10453,358,1181,8914
Indonesia,Indonésie,Asie,2020-04-13 23:07:54,4557,399,380,3778
Iraq,Irak,Moyen-Orient,2020-04-13 23:07:54,1378,78,717,583
Ireland,Irlande,Europe,2020-04-13 23:07:54,10647,365,25,10257
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-13 23:07:54,73303,4585,45983,22735
Israel,Israël,Moyen-Orient,2020-04-13 23:07:54,11586,116,1855,9615
Italy,Italie,Europe,2020-04-13 23:07:54,159516,20465,35435,103616
Jamaica,Jamaïque,Amérique Centrale,2020-04-13 23:07:54,73,4,19,50
Japan,Japon,Asie,2020-04-13 23:07:54,7370,123,784,6463
Jordan,Jordanie,Moyen-Orient,2020-04-13 23:07:54,391,7,215,169
Kazakhstan,Kazakhstan,Asie,2020-04-13 23:07:54,1091,12,138,941
Kenya,Kenya,Afrique,2020-04-13 23:07:54,208,9,40,159
Kosovo,Kosovo,Europe,2020-04-13 23:07:54,283,7,58,218
Kuwait,Koweit,Moyen-Orient,2020-04-13 23:07:54,1300,2,150,1148
Kyrgyz Republic,Kirghizistan,Asie,2020-04-13 23:07:54,419,5,67,347
Lao People's Democratic Republic,Laos,Asie,2020-04-13 23:07:54,19,0,0,19
Latvia,Lettonie,Europe,2020-04-13 23:07:54,655,5,16,634
Lebanon,Liban,Moyen-Orient,2020-04-13 23:07:54,632,20,80,532
Liberia,Liberia,Afrique,2020-04-13 23:07:54,59,6,4,49
Libya,Libye,Afrique,2020-04-13 23:07:54,26,1,9,16
Liechtenstein,Liechtenstein,Europe,2020-04-13 23:07:54,79,1,55,23
Lithuania,Lituanie,Europe,2020-04-13 23:07:54,1062,24,101,937
Luxembourg,Luxembourg,Europe,2020-04-13 23:07:54,3292,69,500,2723
Madagascar,Madagascar,Afrique,2020-04-13 23:07:54,106,0,21,85
Malawi,Malawi,Afrique,2020-04-13 23:07:54,16,2,0,14
Malaysia,Malaisie,Asie,2020-04-13 23:07:54,4817,77,2276,2464
Maldives,Maldives,Asie,2020-04-13 23:07:54,20,0,14,6
Mali,Mali,Afrique,2020-04-13 23:07:54,123,10,26,87
Malta,Malte,Europe,2020-04-13 23:07:54,384,3,44,337
Mauritania,Mauritanie,Afrique,2020-04-13 23:07:54,7,1,2,4
Mauritius,Maurice,Afrique,2020-04-13 23:07:54,324,9,42,273
Mexico,Mexique,Amérique du Nord,2020-04-13 23:07:54,4661,296,1843,2522
Moldova,Moldavie,Asie,2020-04-13 23:07:54,1712,35,107,1570
Monaco,Monaco,Europe,2020-04-13 23:07:54,93,1,6,86
Mongolia,Mongolie,Asie,2020-04-13 23:07:54,17,0,4,13
Montenegro,Montenegro,Europe,2020-04-13 23:07:54,274,3,5,266
Morocco,Maroc,Afrique,2020-04-13 23:07:54,1763,126,203,1434
Mozambique,Mozambique,Afrique,2020-04-13 23:07:54,21,0,2,19
MS Zaandam,MS Zaandam,,2020-04-13 23:07:54,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-13 23:07:54,62,4,2,56
Namibia,Namibie,Afrique,2020-04-13 23:07:54,16,0,3,13
Nepal,Népal,Asie,2020-04-13 23:07:54,14,0,1,13
Netherlands,Pays-Bas,Europe,2020-04-13 23:07:54,26710,2833,295,23582
New Zealand,Nouvelle-Zélande,Océanie,2020-04-13 23:07:54,1349,5,546,798
Nicaragua,Nicaragua,Amérique Centrale,2020-04-13 23:07:54,9,1,4,4
Niger,Niger,Afrique,2020-04-13 23:07:54,529,12,75,442
Nigeria,Nigeria,Afrique,2020-04-13 23:07:54,343,10,91,242
North Macedonia,Macédoine du Nord,Europe,2020-04-13 23:07:54,854,38,44,772
Norway,Norvège,Europe,2020-04-13 23:07:54,6603,134,32,6437
Oman,Oman,Moyen-Orient,2020-04-13 23:07:54,727,4,124,599
Pakistan,Pakistan,Asie,2020-04-13 23:07:54,5496,93,1095,4308
Panama,Panama,Amérique Centrale,2020-04-13 23:07:54,3400,87,29,3284
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-13 23:07:54,2,0,0,2
Paraguay,Paraguay,Amérique du Sud,2020-04-13 23:07:54,147,6,22,119
Peru,Pérou,Amérique du Sud,2020-04-13 23:07:54,9784,216,2642,6926
Philippines,Philippines,Asie,2020-04-13 23:07:54,4932,315,242,4375
Poland,Pologne,Europe,2020-04-13 23:07:54,6934,245,487,6202
Portugal,Portugal,Europe,2020-04-13 23:07:54,16934,535,277,16122
Qatar,Qatar,Moyen-Orient,2020-04-13 23:07:54,3231,7,334,2890
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-04-13 23:07:54,189,9,110,70
Republic of Korea,Corée du Sud,Asie,2020-04-13 23:07:54,10537,217,7447,2873
Republic of Yemen,Yemen,Moyen-Orient,2020-04-13 23:07:54,1,0,0,1
Romania,Roumanie,Europe,2020-04-13 23:07:54,6633,331,914,5388
Russian Federation,Russie,Asie,2020-04-13 23:07:54,18328,148,1470,16710
Rwanda,Rwanda,Afrique,2020-04-13 23:07:54,127,0,42,85
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-04-13 23:07:54,12,0,0,12
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-04-13 23:07:54,15,0,4,11
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-04-13 23:07:54,12,0,1,11
San Marino,Saint Marin,Europe,2020-04-13 23:07:54,356,35,53,268
Sao Tome and Principe,Sao Tomé-et-Principe,Afrique,2020-04-13 23:07:54,4,0,0,4
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-04-13 23:07:54,4934,65,805,4064
Senegal,Sénégal,Afrique,2020-04-13 23:07:54,291,2,178,111
Serbia,Serbie,Europe,2020-04-13 23:07:54,4054,85,0,3969
Seychelles,Seychelles,Asie,2020-04-13 23:07:54,11,0,0,11
Sierra Leone,Sierra Leone,Afrique,2020-04-13 23:07:54,10,0,0,10
Singapore,Singapour,Asie,2020-04-13 23:07:54,2918,9,586,2323
Slovak Republic,Slovaquie,Europe,2020-04-13 23:07:54,769,2,107,660
Slovenia,Slovénie,Europe,2020-04-13 23:07:54,1212,55,152,1005
Somalia,Somalie,Afrique,2020-04-13 23:07:54,60,2,2,56
South Africa,Afrique du Sud,Afrique,2020-04-13 23:07:54,2272,27,410,1835
South Sudan,Sud Soudan,Afrique,2020-04-13 23:07:54,4,0,0,4
Spain,Espagne,Europe,2020-04-13 23:07:54,170099,17756,64727,87616
Sri Lanka,Sri Lanka,Asie,2020-04-13 23:07:54,217,7,56,154
Sudan,Soudan,Afrique,2020-04-13 23:07:54,29,4,4,21
Suriname,Suriname,Amérique du Sud,2020-04-13 23:07:54,10,1,6,3
Sweden,Suède,Europe,2020-04-13 23:07:54,10948,919,381,9648
Switzerland,Suisse,Europe,2020-04-13 23:07:54,25688,1138,13700,10850
Syrian Arab Republic,Syrie,Moyen-Orient,2020-04-13 23:07:54,25,2,5,18
Taiwan,Taiwan,Asie,2020-04-13 23:07:54,393,6,109,278
Tanzania,Tanzanie,Afrique,2020-04-13 23:07:54,49,3,7,39
Thailand,Thaïlande,Asie,2020-04-13 23:07:54,2579,40,1288,1251
The Bahamas,Les Bahamas,Amérique Centrale,2020-04-13 23:07:54,47,8,6,33
The Gambia,Gambie,Afrique,2020-04-13 23:07:54,9,1,2,6
Timor-Leste,Timor Oriental,Asie,2020-04-13 23:07:54,4,0,1,3
Togo,Togo,Afrique,2020-04-13 23:07:54,77,3,29,45
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-04-13 23:07:54,113,8,16,89
Tunisia,Tunisie,Afrique,2020-04-13 23:07:54,726,34,43,649
Turkey,Turquie,Europe,2020-04-13 23:07:54,61049,1296,3957,55796
Uganda,Ouganda,Afrique,2020-04-13 23:07:54,54,0,7,47
Ukraine,Ukraine,Europe,2020-04-13 23:07:54,3102,93,97,2912
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-04-13 23:07:54,4521,25,852,3644
United Kingdom,Royaume-Uni,Europe,2020-04-13 23:07:54,89570,11347,304,77919
Uruguay,Uruguay,Amérique du Sud,2020-04-13 23:07:54,480,8,231,241
United States of America,États-Unis,Amérique du Nord,2020-04-13 23:07:54,580619,23529,43482,615608
Uzbekistan,Ouzbékistan,Asie,2020-04-13 23:07:54,998,4,85,909
Vietnam,Vietnam,Asie,2020-04-13 23:07:54,265,0,146,119
West Bank and Gaza,Palestine,Moyen-Orient,2020-04-13 23:07:54,308,2,58,248
Western Sahara,Sahara Occidental,Afrique,2020-04-13 23:07:54,6,0,0,6
Zambia,Zambie,Afrique,2020-04-13 23:07:54,45,2,30,13
Zimbabwe,Zimbabwe,Afrique,2020-04-13 23:07:54,17,3,0,14
Republic of Serbia,Serbie,,2020-04-13 23:07:54,4054,85,0,3969
Slovakia,Slovaquie,,2020-04-13 23:07:54,769,2,107,660
Macedonia,Macédoine du Nord,,2020-04-13 23:07:54,854,38,44,772
