French Name,Confirmed,Deaths,Recovered,Existing
Europe,1489308,152404,649590,687314
Amérique du Nord,1383125,85037,249546,1068490
Asie,480138,12245,172459,295434
Moyen-Orient,207861,7413,116183,84265
Amérique du Sud,283981,14611,99575,169795
Reste du monde,89735,3153,31683,54899
