French Name,Confirmed,Deaths,Recovered,Existing
Europe,1514570,154519,675249,684802
Amérique du Nord,1434373,87982,270102,1085865
Asie,520598,12879,189698,318021
Moyen-Orient,220183,7580,122820,89783
Amérique du Sud,310824,16394,109006,185424
Afrique,62973,2279,21696,38998
Amérique Centrale,25614,920,9681,15013
Océanie,8453,118,7561,774
