French Name,Confirmed,Deaths,Recovered,Existing
Europe,1132540,103440,318291,710809
Amérique du Nord,802216,42875,84811,674530
Asie,217837,7619,106336,103882
Moyen-Orient,123143,5563,65909,51671
Amérique du Sud,82703,3852,36374,42477
Afrique,22184,1115,5446,15623
Océanie,7985,79,5036,2870
Amérique Centrale,11521,477,950,10094
