French Name,Confirmed,Deaths,Recovered,Existing
Europe,922938,77858,223709,621371
Amérique du Nord,583831,23006,41883,518942
Asie,159085,5162,95899,58024
Moyen-Orient,98625,4775,48414,45436
Amérique du Sud,51053,2084,5685,43284
Reste du monde,22070,847,5070,16153
