French Name,Confirmed,Deaths,Recovered,Existing
Europe,1434817,146110,589730,698977
Amérique du Nord,1293591,77761,233607,1011253
Asie,422629,11359,155751,255519
Moyen-Orient,191092,7132,106518,77442
Amérique du Sud,238296,12008,82659,143629
Afrique,48814,1901,16215,30698
Amérique Centrale,21333,816,4446,16071
Océanie,8371,118,7299,954
