French Name,Confirmed,Deaths,Recovered,Existing
Europe,1157173,106228,331641,719304
Amérique du Nord,830245,44506,87499,698240
Asie,226032,7755,107765,110512
Moyen-Orient,127103,5670,68765,52668
Amérique du Sud,86921,4077,37111,45733
Afrique,23353,1153,6028,16172
Océanie,7994,79,5098,2817
Amérique Centrale,12172,494,1079,10599
