French Name,Confirmed,Deaths,Recovered,Existing
Europe,324252,19049,36148,268984
Amérique du Nord,106924,1643,1129,99780
Asie,104373,3716,80772,19885
Moyen-Orient,38974,2445,11606,24923
Amérique du Sud,9119,170,185,8764
Afrique,3878,115,229,3534
Océanie,3512,13,231,3268
Amérique Centrale,1618,37,18,1563
