French Name,Confirmed,Deaths,Recovered,Existing
Europe,425554,27204,58410,339940
Amérique du Nord,170198,3078,6145,154123
Asie,109887,3864,83478,22545
Moyen-Orient,50862,2852,14631,33379
Amérique du Sud,12510,300,619,11591
Afrique,5188,173,328,4687
Océanie,4951,18,320,4613
Amérique Centrale,2501,83,32,2386
