French Name,Confirmed,Deaths,Recovered,Existing
Europe,170213,8838,12781,148594
Asie,97667,3517,76148,17863
Moyen-Orient,24704,1712,8165,14827
Amérique du Nord,34992,440,192,34360
Reste du monde,7669,119,271,7273
