French Name,Confirmed,Deaths,Recovered,Existing
Europe,393278,24331,48965,319982
Amérique du Nord,148610,2553,3224,137083
Asie,108194,3818,82546,21830
Moyen-Orient,46843,2724,12994,31125
Amérique du Sud,11511,258,225,11028
Afrique,4778,152,283,4343
Océanie,4499,17,300,4182
Amérique Centrale,2286,68,31,2187
