Country/Region,French Name,Confirmed,Deaths,Recovered,Existing,Continent
C-US,,28,0,0,28,Amérique du Nord
C-US,,23,0,0,23,Amérique du Nord
C-US,,23,0,0,23,Amérique du Nord
C-US,,21,0,0,21,Amérique du Nord
C-US,,21,1,0,20,Amérique du Nord
C-US,,15,0,0,15,Amérique du Nord
C-US,,15,0,0,15,Amérique du Nord
C-US,,14,1,0,13,Amérique du Nord
C-US,,8,0,0,8,Amérique du Nord
C-US,,6,0,0,6,Amérique du Nord
C-US,,1,0,171,-170,Amérique du Nord
Cambodia,Cambodge,53,0,1,52,Asie
Cameroon,Cameroun,27,0,0,27,Afrique
Cape Verde,Cap Vert,4,0,0,4,Afrique
Central African Republic,République d’Afrique Centrale,3,0,0,3,Afrique
Chad,Tchad,1,0,0,1,Afrique
Chile,Chili,537,0,6,531,Amérique du Sud
Colombia,Colombie,196,0,1,195,Amérique du Sud
Congo,Congo,3,0,0,3,Afrique
Costa Rica,Costa Rica,117,2,2,113,Amérique du Sud
Cote d'Ivoire,Cote d’Ivoire,14,0,1,13,Afrique
Croatia,Croatie,206,1,5,200,Europe
Cruise Ship,Diamond Princess,712,8,325,379,
Cuba,Cuba,21,1,0,20,Amérique Centrale
Cyprus,Chypre,84,0,0,84,Europe
Czech Republic,République Tchèque,995,0,6,989,Europe
Democratic Republic of Congo,République Démocratique du Congo,23,1,0,22,Afrique
Djibouti,Djibouti,1,0,0,1,Afrique
Dominican Republic,République Dominicaine,112,2,0,110,Amérique Centrale
East Timor,Timor Oriental,1,0,0,1,Asie
Ecuador,Équateur,506,7,3,496,Amérique du Sud
El Salvador,El Salvador,3,0,0,3,Amérique Centrale
Equatorial Guinea,Guinée équatoriale,6,0,0,6,Afrique
Eritrea,Erythrée,1,0,0,1,Afrique
Estonia,Estonie,306,0,1,305,Europe
Eswatini,Eswatini,1,0,0,1,Afrique
Ethiopia,Ethiopie,9,0,0,9,Afrique
Fiji,Iles Fidji,1,0,0,1,Amérique Centrale
Finland,Finlande,523,1,10,512,Europe
French Guiana,Guyane Française,18,0,6,12,Europe
