French Name,Confirmed,Deaths,Recovered,Existing
Europe,250703,14236,23492,212975
Asie,101301,3617,78686,18998
Moyen-Orient,32306,2121,9989,20196
Amérique du Nord,69076,975,548,64871
Amérique du Sud,6769,117,105,6547
Océanie,2928,10,141,2421
Afrique,2766,73,211,2482
Amérique Centrale,1104,22,12,1070
