,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20
Confirmed,555,653,941,1434,2118,2927,5578,6166,8234,9927,12038,16787,19881,23892,27635,30817,34391,37120,40150,42762,44802,45221,60368,66885,69030,71224,73258,75136,75639,76197,76823,78579,78965,79568,80413,81395,82754,84120,86011,88369,90306,92840,95120,97882,101784,105821,109795,113561,118592,125865,128343,145193,156094,167446,181527,197142,214910,242708,272166
Deaths,17,18,26,42,56,82,131,133,171,213,259,362,426,492,564,634,719,806,906,1013,1113,1118,1371,1523,1666,1770,1868,2007,2122,2247,2251,2458,2469,2629,2708,2770,2814,2872,2940,2995,3079,3153,3243,3335,3443,3538,3775,3959,4252,4602,4706,5384,5784,6397,7043,7803,8599,9648,11006
Recovered,28,30,36,39,50,59,102,121,138,217,279,467,618,847,1119,1482,2006,2606,3234,3936,4673,5140,6283,8046,9383,10851,12568,14337,16106,18162,18873,22869,23373,25206,27883,30362,33255,36683,39754,42688,45571,48197,51139,53765,55834,58327,60663,62463,64371,66969,68290,70216,72589,75999,78053,80799,83165,84812,87214
Existing,510,605,879,1353,2012,2786,5345,5912,7925,9497,11500,15958,18837,22553,25952,28701,31666,33708,36010,37813,39016,38963,52714,57316,57981,58603,58822,58792,57411,55788,55699,53252,53123,51733,49822,48263,46685,44565,43317,42686,41656,41490,40738,40782,42507,43956,45357,47139,49969,54294,55347,69593,77721,85050,96431,108540,123146,148248,173946
