French Name,Confirmed,Deaths,Recovered,Existing
Europe,737878,58088,147825,531965
Amérique du Nord,416534,13222,26187,377125
Asie,134823,4480,90139,40204
Moyen-Orient,82465,4092,29550,48823
Reste du monde,48311,1750,5599,40962
