French Name,Confirmed,Deaths,Recovered,Existing
Europe,1564467,160613,728142,675712
Amérique du Nord,1535150,95967,310993,1127919
Asie,599445,14159,227172,358114
Moyen-Orient,248401,7895,139838,100668
Amérique du Sud,377589,20042,130807,226740
Afrique,74644,2551,27052,45041
Amérique Centrale,28468,1014,12079,15375
Océanie,8525,119,7763,643
