French Name,Confirmed,Deaths,Recovered,Existing
Europe,369536,23155,46012,300369
Amérique du Nord,142031,2464,1542,132976
Asie,106297,3767,81658,20872
Moyen-Orient,42942,2588,12186,28168
Reste du monde,18748,361,758,17629
