Country/Region,French Name,Continent,Last Update,Confirmed,Deaths,Recovered,Existing
C-Netherlands,,Europe,2020-03-25 23:33:04,17,0,1,16
C-Netherlands,,Europe,2020-03-25 23:33:04,6,1,0,5
C-Netherlands,,Europe,2020-03-25 23:33:04,3,0,0,3
C-Netherlands,,Europe,2020-03-25 23:33:04,6412,356,3,6053
C-United Kingdom,,Europe,2020-03-25 23:33:04,7,0,0,7
C-United Kingdom,,Europe,2020-03-25 23:33:04,8,1,0,7
C-United Kingdom,,Europe,2020-03-25 23:33:04,46,0,0,46
C-United Kingdom,,Europe,2020-03-25 23:33:04,26,0,5,21
C-United Kingdom,,Europe,2020-03-25 23:33:04,23,0,0,23
C-United Kingdom,,Europe,2020-03-25 23:33:04,1,0,0,1
C-United Kingdom,,Europe,2020-03-25 23:33:04,9529,465,135,8929
C-US,,Amérique du Nord,2020-03-25 23:33:20,65778,942,361,64475
Cambodia,Cambodge,Asie,2020-03-25 23:33:04,96,0,10,86
Cameroon,Cameroun,Afrique,2020-03-25 23:33:04,75,1,2,72
Cape Verde,Cap Vert,Afrique,2020-03-25 23:33:04,4,1,0,3
Central African Republic,République d’Afrique Centrale,Afrique,2020-03-25 23:33:04,3,0,0,3
Chad,Tchad,Afrique,2020-03-25 23:33:04,3,0,0,3
Chile,Chili,Amérique du Sud,2020-03-25 23:33:04,1142,3,22,1117
Colombia,Colombie,Amérique du Sud,2020-03-25 23:33:04,470,4,8,458
Congo,Congo,Afrique,2020-03-25 23:33:04,4,0,0,4
Costa Rica,Costa Rica,Amérique du Sud,2020-03-25 23:33:04,201,2,2,197
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-03-25 23:33:04,80,0,3,77
Croatia,Croatie,Europe,2020-03-25 23:33:04,442,1,22,419
Cuba,Cuba,Amérique Centrale,2020-03-25 23:33:04,57,1,1,55
Cyprus,Chypre,Europe,2020-03-25 23:33:04,132,3,3,126
Czech Republic,République Tchèque,Europe,2020-03-25 23:33:04,1654,6,10,1638
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-03-25 23:33:04,48,2,0,46
Diamond Princess,Diamond Princess,,2020-03-25 23:33:04,712,10,587,115
Djibouti,Djibouti,Afrique,2020-03-25 23:33:04,11,0,0,11
Dominica,Dominique,Amérique Centrale,2020-03-25 23:33:04,7,0,0,7
Dominican Republic,République Dominicaine,Amérique Centrale,2020-03-25 23:33:04,392,10,3,379
Ecuador,Équateur,Amérique du Sud,2020-03-25 23:33:04,1173,28,3,1142
El Salvador,El Salvador,Amérique Centrale,2020-03-25 23:33:04,9,0,0,9
Equatorial Guinea,Guinée équatoriale,Afrique,2020-03-25 23:33:04,9,0,0,9
Eritrea,Erythrée,Afrique,2020-03-25 23:33:04,4,0,0,4
Estonia,Estonie,Europe,2020-03-25 23:33:04,404,1,8,395
Eswatini,Eswatini,Afrique,2020-03-25 23:33:04,4,0,0,4
Ethiopia,Ethiopie,Afrique,2020-03-25 23:33:04,12,0,0,12
Fiji,Iles Fidji,Amérique Centrale,2020-03-25 23:33:04,5,0,0,5
Finland,Finlande,Europe,2020-03-25 23:33:04,880,3,10,867
Gabon,Gabon,Afrique,2020-03-25 23:33:04,6,1,0,5
Georgia,Géorgie,Asie,2020-03-25 23:33:04,75,0,10,65
Germany,Allemagne,Europe,2020-03-25 23:33:04,37323,206,3547,33570
Ghana,Ghana,Afrique,2020-03-25 23:33:04,93,4,0,89
Greece,Grèce,Europe,2020-03-25 23:33:04,821,22,36,763
Grenada,Grenade,Amérique Centrale,2020-03-25 23:33:04,1,0,0,1
Guatemala,Guatemala,Amérique Centrale,2020-03-25 23:33:04,24,1,4,19
Guinea,Guinée,Afrique,2020-03-25 23:33:04,4,0,0,4
Guinea-Bissau,Guinée-Bissau,Afrique,2020-03-25 23:33:04,2,0,0,2
Guyana,Guyane,Amérique du Sud,2020-03-25 23:33:04,5,1,0,4
Haiti,Haïti,Amérique Centrale,2020-03-25 23:33:04,8,0,0,8
Holy See,Iles Anglo-Normandes,Europe,2020-03-25 23:33:04,4,0,0,4
Honduras,Honduras,Amérique Centrale,2020-03-25 23:33:04,36,0,0,36
Hungary,Hongrie,Europe,2020-03-25 23:33:04,226,10,21,195
Iceland,Islande,Europe,2020-03-25 23:33:04,737,2,56,679
India,Inde,Asie,2020-03-25 23:33:04,657,12,43,602
Indonesia,Indonésie,Asie,2020-03-25 23:33:04,790,58,31,701
Iraq,Irak,Moyen-Orient,2020-03-25 23:33:04,346,29,103,214
Ireland,Irlande,Europe,2020-03-25 23:33:04,1564,9,5,1550
Islamic Republic of Iran,Iran,Moyen-Orient,2020-03-25 23:33:04,27017,2077,9625,15315
Israel,Israël,Moyen-Orient,2020-03-25 23:33:04,2369,5,58,2306
Italy,Italie,Europe,2020-03-25 23:33:04,74386,7503,9362,57521
Jamaica,Jamaïque,Amérique Centrale,2020-03-25 23:33:04,26,1,2,23
Japan,Japon,Asie,2020-03-25 23:33:04,1307,45,310,952
Jordan,Jordanie,Moyen-Orient,2020-03-25 23:33:04,172,0,1,171
Kazakhstan,Kazakhstan,Asie,2020-03-25 23:33:04,81,0,0,81
Kenya,Kenya,Afrique,2020-03-25 23:33:04,28,0,1,27
Kosovo,Kosovo,Europe,2020-03-25 23:33:05,71,0,1,70
Kuwait,Koweit,Moyen-Orient,2020-03-25 23:33:04,195,0,43,152
Kyrgyz Republic,Kirghizistan,Asie,2020-03-25 23:33:04,44,0,0,44
Lao People's Democratic Republic,Laos,Asie,2020-03-25 23:33:04,3,0,0,3
Latvia,Lettonie,Europe,2020-03-25 23:33:04,221,0,1,220
Lebanon,Liban,Moyen-Orient,2020-03-25 23:33:04,333,6,20,307
Liberia,Liberia,Afrique,2020-03-25 23:33:04,3,0,0,3
Libya,Libye,Afrique,2020-03-25 23:33:04,1,0,0,1
Liechtenstein,Liechtenstein,Europe,2020-03-25 23:33:04,51,0,0,51
Lithuania,Lituanie,Europe,2020-03-25 23:33:04,274,4,1,269
Luxembourg,Luxembourg,Europe,2020-03-25 23:33:04,1333,8,6,1319
Madagascar,Madagascar,Afrique,2020-03-25 23:33:04,19,0,0,19
Malaysia,Malaisie,Asie,2020-03-25 23:33:04,1796,20,199,1577
Maldives,Maldives,Asie,2020-03-25 23:33:04,13,0,8,5
Mali,Mali,Afrique,2020-03-25 23:33:04,2,0,0,2
Malta,Malte,Europe,2020-03-25 23:33:04,129,0,2,127
Mauritania,Mauritanie,Afrique,2020-03-25 23:33:04,2,0,0,2
