French Name,Confirmed,Deaths,Recovered,Existing
Europe,286669,16470,29613,240586
Asie,102795,3674,79671,19450
Amérique du Nord,88353,1253,869,82411
Moyen-Orient,35361,2290,10871,22200
Reste du monde,14332,249,516,13567
